ID,NOME,TITULO,QUALIFICACAO,DISCIPLINA,UNIVERSIDADE,ORIENTADOR,PAG,PALAVRASCHAVE,ANO,LINK
1,Renata da Silva Nobrega,"Contra as invasões bárbaras, a humanidade. A luta dos Arara (Karo) e dos Gavião (Ikólóéhj) contra os projetos hidrelétricos do Rio Machado, em Rondônia",Mestrado,Etnologia indígena,Universidade Estadual de Campinas ,"Fernando Antônio Lourenço 
",205 p.,"índios Arara (Karo); índios Gaviões (Ikólóéhj), Rondônia - conflitos sociais, movimentos sociais, rio Ji-Paraná - barragem",00/00/2008,http://www.repositorio.unicamp.br/handle/REPOSIP/281965
2,João Veridiano Franco Neto,Xamanismo Kalapalo e Assistência Médica no Alto Xingu,Mestrado,Etnologia indígena,Universidade Estadual de Campinas,Vanessa Rosemary Lea,308 p.,"xamanismo, etnologia indígena, saúde indígena, Alto Xingu, Kalapalo",00/00/2010,http://www.repositorio.unicamp.br/handle/REPOSIP/279493
3,Felipe Ferreira Vander Velden,Inquietas Companhias: sobre os animais de criação entre os Karitiana,Doutorado,Etnologia indígena,Universidade Estadual de Campinas,Nádia Farage,311 p.,"índios da América do Sul, antropologia social, Karitiana, etnologia, animais domésticos",00/00/2010,http://www.repositorio.unicamp.br/handle/REPOSIP/280030
4,Fernando de Niemeyer,Cultura e Agricultura: Resiliência e transformação do sistema agrícola krahô,Mestrado,Etnologia indígena,Universidade Estadual de Campinas,Mauro William Barbosa de Almeida,189 p.,"Krahô, economia agrícola, cultura, mudança social",00/00/2011,http://www.repositorio.unicamp.br/handle/REPOSIP/279074
5,José Maria Trajano Vieira,A luta pelo reconhecimento étnico dos Kokama na tríplice fronteira Brasil/Colômbia/Peru,Doutorado,Etnologia indígena,Universidade Estadual de Campinas,Mauro William Barbosa de Almeida,297 p.,"índios Kokama, reconhecimento étnico, fronteiras, identidade cultural",00/00/2016,http://www.repositorio.unicamp.br/handle/REPOSIP/320967
6,Raquel Pereira Rocha,"""A Questão de Gênero na Etnologia Jê: a partir de um estudo sobre os Apinajé""",Mestrado,Etnologia indígena,Universidade Estadual de Campinas,Vanessa Rosemary Lea,140 p.,"índios apinaye, índios Je, gênero",00/00/2001,http://www.repositorio.unicamp.br/handle/REPOSIP/279491
7,Giovana Acacia Tempesta,A produção continuada dos corpos : praticas de resguardo entre os Wapichana e os Macuxi em Roraima,Mestrado,Etnologia indígena,Universidade Estadual de Campinas ,"Robin Michel Wright 
",137 p.,"índios macuxi, índios waptxana, cosmologia",00/00/2004,http://www.repositorio.unicamp.br/handle/REPOSIP/281563
8,Marcelo Caetano de Cernev Rosa,"A luta pela terra em memorias Kaingang
",Mestrado,Etnologia indígena,Universidade Estadual de Campinas ,Nadia Farage,128 p.,"recuperação da terra, sofrimento, etnologia, memória, índios Kaigang",00/00/2004,http://www.repositorio.unicamp.br/handle/REPOSIP/279575
9,Felipe Ferreira Vander Velden,Por onde o sangue circula : os Karitiana e a intervenção biomedica,Mestrado,Etnologia indígena,Universidade Estadual de Campinas ,Nadia Farage,273 p.,"etnologia - Rondônia, antropologia social, antropologia médica, índios da Am. Do Sul",00/00/2004,http://www.repositorio.unicamp.br/handle/REPOSIP/279104
10,Carlos Alberto Borges da Silva,A Revolta do Rupununi : uma etnografia possivel,Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Jose Luiz dos Santos 
",260 p.,"etnologia, Índios da América do Sul - Guiana, Índios da América do Sul - Venezuela, fazendeiros, Brasil - História - Revolta do Rupununu, 1969",00/00/2005,http://www.repositorio.unicamp.br/handle/REPOSIP/279849
11,Pedro Augusto Lolli,O Contínuo e o Descontínuo em Lévi-Strauss,Mestrado,Etnologia indígena,Universidade Estadual de Campinas,Mauro William Barbosa de Almeida,119 p.,"Lévi-Strauss, diferença (filosofia), Estruturalismo, grupos contínuos, Amazonas (mitologia)",00/00/2005,http://www.repositorio.unicamp.br/handle/REPOSIP/281545
12,Pedro Peixoto Ferreira,Música Eletrônica e Xamanismo: técnicas contemporâneas do êxtase,Doutorado,Etnologia indígena,Universidade Estadual de Campinas,Laymert Garcia dos Santos,495 p.,"música eletrônica, xamanismo, tecnologia, ritual, dança",00/00/2006,http://www.repositorio.unicamp.br/handle/REPOSIP/280496
13,Juan Carlos Pena Marquez,Mitu Vaupes : a participação dos indios na construção do urbano na Amazonia,Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,Robin Michael Wright,270 p.,"Índios da América do Sul - Amazônia - História, etnologia, índios - civilização",00/00/2008,http://www.repositorio.unicamp.br/handle/REPOSIP/280925
14,Abdías Alfonso Jara Salas,Dádivas na Cultura Andina e a Morte do Campesinato,Doutorado,Etnologia indígena,Universidade Estadual de Campinas,Valeriano Mendes Ferreira Costa,219 p.,"doações, camponeses - Peru, economia doméstica rural, capitalismo, economia agrícola, postmodernismo, symbolismo, cosmologia - ciclo vital da família",00/00/2010,http://www.repositorio.unicamp.br/handle/REPOSIP/281083
