departamento,departamento_ffch,unidade_usp,instituicao_externa
,,,
________,,,
_________,,,
-,,,
-----,,,
-----------,,,
-------------,,,
----------------,,,
-----------------,,,
---------------------,,,
------------------------------,,,
-----------------------------------,,,
Antopologia,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
antropologia,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Antropologia,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
ANTROPOLOGIA,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Antropologia Social,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Antropologiua,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Artes/ECA/USP,,Escola de Comunicação e Artes,
Campus de Assis,,,Universidade Estadual Paulista
CAMPUS FRANCA,,,Universidade Estadual Paulista
Centro de Ciências Humanas,,,Centro de Ciências Humanas
Centro de Ciências Jurídicas e Econômicas,,,Centro de Ciências Jurídicas e Econômicas
Centro de Ciências Sociais e Humanas,,,Centro de Ciências Sociais e Humanas
Ciêcias Sociais,Sociologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciencia Politica,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
CIENCIA POLITICA,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciência Politica,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciencia Política,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciência Política,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciencia Politttica,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciências,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciências Política,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciências Políticas,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciências Sociais,Sociologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Ciências Sociais e Letras,Sociologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
Cioencia Politica,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Classicas e vernaculas,Letras Clássicas e Vernáculas,"Faculdade de Filosofia, Letras e Ciências Humanas",
classicas Vernaculas,Letras Clássicas e Vernáculas,"Faculdade de Filosofia, Letras e Ciências Humanas",
Comunicação e Letras,,,
Comunicação e Semiótica,,,
Comunicação Social,,,
CP,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
DA,Antropologia,"Faculdade de Filosofia, Letras e Ciências Humanas",
DCP,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
DCS,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
DCV,,,
DEL,,,
Departamento de Letras Clássicas e Vernáculas,Letras Clássicas e Vernáculas,"Faculdade de Filosofia, Letras e Ciências Humanas",
Depto. Ciência Política,Ciência Política,"Faculdade de Filosofia, Letras e Ciências Humanas",
Depto. Educação,,Faculdade de Educação,
DF,Filosofia,"Faculdade de Filosofia, Letras e Ciências Humanas",
D.F,Filosofia,"Faculdade de Filosofia, Letras e Ciências Humanas",
