nome_antigo,area_fflch
"A tradução como transferência cultural: metodologias de pesquisa, construção de aportes teóricos e análise de recepção no Brasil.",Língua e Literatura Alemã
Aarquiologia,Arqueologia
Administração,Administração
Administração e Planejamento Urbano,Administração
Administração Escolar e Educação Comparada,Educação
Administração Política,Administração
Administração Pública,Administração
Administração pública,Administração
Análise ambiental,Geografia Física
Análise Ambiental,Geologia Sedimentar
Análise e Planejamento Sócio-ambiental,Ciência Política
Antorpologia Social,Antropologia Social 
Antrologia Social,Antropologia Social
Antroplogia Social,Antropologia Social
Antropogia Social,Antropologia Social 
Antropologia,Antropologia Social
Antropologia  Social,Antropologia Social
Antropologia Soacia,Antropologia Social
Antropologia Soacial,Antropologia Social
Antropologia Social,Antropologia Social
Antropologia social,Antropologia Social
antropologia social,Antropologia Social
Antropologia Social - Instituto de Filosofia e Ciências Humanas,Antropologia Social
"AQUINO, Maria Aparecida de",História Social
Aquisisão de Linguagem,"Língua Hebraica, Literatura e Cultura Judaicas"
Área de Filologia e Língua Portuguesa,Filologia e Língua Portuguesa
"Área de Língua Hebraica, Literatura e Cultura Judaicas","Língua Hebraica, Literatura e Cultura Judaicas"
Arquelogia,Arqueologia
Arqueologia,Arqueologia
ARQUEOLOGIA,Arqueologia
Arqueologia - Artefatos e Cultura Material: Significados e Potencialidades,Arqueologia
Arqueologia - História da Arqueologia e Pespectivas Teóricas Contemporâneas,Arqueologia
Arqueologia e História da Arte,Arqueologia
Arqueoloia,Arqueologia
Arquitetura,Arquitetura e Urbanismo
Arquitetura e Urbanismo,Arquitetura e Urbanismo
Artes,Artes
Artes Cênicas,Artes Cênicas
Artes e Comunicação,Ciências da Comunicação
Atropologia Social,Antropologia Social
Biblioteconomia,Sistemas de Informação
Biblioteconomia e Documentação,Sistemas de Informação
Bilogia,Zoologia
Biologia,Ciências Biológicas
Botânica,Botânica
centre D'etudes Iberiques et Latino-Americaines,História Social
Centro de Estudos Árabes e Judaicos,"Língua Hebraica, Literatura e Cultura Judaica"
Ciência,
Ciência  Política,Ciência Política
Ciência em Engenharia de Produção,Engenharia de Produção
Ciência Poítica,Ciência Política
Ciência Polítca,Ciência Política
Ciencia Politica,Ciência Política
ciencia Politica,Ciência Política
Ciencia politica,Ciência Política
Ciencia Política,Ciência Política
Ciencia política,Ciência Política
Ciência Politica,Ciência Política
Ciência Política,Ciência Política
CIência Política,Ciência Política
Ciência política,Ciência Política
Ciência Política1,Ciência Política
Ciencia Sociais,Sociologia
Ciências,
Ciências da Religião,Ciência Política
Ciências da Terra,Geografia Humana
Ciências e Tecnologia,Geografia Humana
Ciências Geodesicas,Geografia Física
Ciências Geodésicas,Geografia Física
Ciências Humanas,
Ciências Política,Ciência Política
Ciências Políticas,Ciência Política
Ciências Sociais,Sociologia
Clasicas e Vernaculas,Letras Clássicas
Clássias e Vernáculas,Letras Clássicas
Classica e Vernacula,Letras Clássicas
Classicas e Vernaculas,Letras Clássicas
Clàssicas e Vernaculas,Letras Clássicas
Climatologia,Geografia Física
Comuncação,Ciências da Comunicação
Comuncação e Letras,Ciências da Comunicação
Comunicação,Ciências da Comunicação
Comunicação e Artes,Ciências da Comunicação
Comunicação e Letras,Ciências da Comunicação
Comunicação e Letras - Universidade Presbiteriana Mackenzie,Ciências da Comunicação
Comunicação e Semiótica,Ciências da Comunicação
Comunicação e Semiótica - PUC - SP,Ciências da Comunicação
Comunicação e Semiótica - PUC-SP,Ciências da Comunicação
Comunicação Midiática,Ciências da Comunicação
Comunicação Social,Ciências da Comunicação
Comunicações,Ciências da Comunicação
Concentração semiotica e Linguistica,Lingüística
Consentração de Geografia Humana,Geografia Humana
