especificação,nreferencia,numero,região,local,titulo,data,rolonum,Bobina,suporte,País,Sistema,Ano de Entrada,Origem,Nota,Acervo disponível,Acervo indisponível
,,,,,,,,,,,,,,,,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares:  Praça de Militares, C/C.",122,122,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1780-1822,1,122,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares: C/C, Folha Militar.",123,123,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1773-1822,1,123,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares: Registro de Guias, Registro de Ordens.",124,124,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Companhias Militares.,1785-1822,1,124,Microfilmes,Brasil,Neg/Pos,1969,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Música Goiana coletada por Frei Simão Dorvi.,125,125,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Música Goiana.,,1,3,Microfilmes,Brasil,Neg/Pos,1970,,,,X
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Catálogo de Documentos da Época Colonial, existentes no Arquivo da Delegacia Fiscal do Museu das Bandeiras, elaborado por Yeda Sócrates do Nascimento (700 fl.dat., 1955).",126,126,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Catálogo de Documentos.,Séculos XVIII/XIX,1,4,Microfilmes,Brasil,Neg,1968,,,,X
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,127,127,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1857-1890,1,1,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,128,128,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1825-1885,1,2,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,129,129,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1864-1890,1,3,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,130,130,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1864-1889,1,4,Microfilmes,Brasil,Neg,1971,,,,X
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra. Presídios e Colônias.,131,131,Centro-Oeste,Goiás,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Secretaria de Estado dos Negócios da Guerra.,1864-1889,1,5,Microfilmes,Brasil,Neg,1971,,,X,
Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Entradas.,38,38,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1795-1822,1,38,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Recebedores, Rendimentos Reais.",59,59,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1761-1820,1,59,Microfilmes,Brasil,Neg/Pos,1969,,,X,
"Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria: Impostos-Rendimentos Reais, C/C diversas, Dívidas.",60,60,Centro-Oeste,Goiás/Goiás Velho,Arquivo da Delegacia Fiscal do Estado de Goiás - Museu das Bandeiras. Contadoria.,1771-1822,1,60,Microfilmes,Brasil,Neg/Pos,1969,,,X,
