especificação,nreferencia,numero,região,local,titulo,data,rolonum,Bobina,suporte,País,Sistema,Ano de Entrada,Origem,Nota,Acervo disponível,Acervo indisponível
África - Colonialismo e Descolonização. Arquivo do Prof. Chilcote sobre África Portuguesa: Colonialismo e processo de independência.,856,4,,Angola,África - Colonialismo e Descolonização.,1957-1966,1,2,Microfilmes,Angola,Neg/35mm,,,,,
África - Colonialismo e Descolonização. Arquivo do Prof. Chilcote sobre África Portuguesa: Colonialismo e processo de independência.,855,Não consta,,Argélia,África - Colonialismo e Descolonização.,,1,Não consta,Microfilmes,Argélia,Não consta,,,,,
Archivo General de la Nación Argentina. Division Colonia: Seccion Gobierno. Gobierno de Mojos e Chiquitos.,641,6,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1750-1809,1,2,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,,
Archivo General de la Nación Argentina. Real Aduana de Buenos Aires. Alcabalas.,642,7,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1785-1806,1,3,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,,
"Archivo General de la Nación Argentina. Division Colonia: Seccion Gobierno. Aduana, Fazenda.",643,8,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1783-1798,1,4,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,,X
Archivo General de la Nación Argentina. Comércio. Administração. Navegação. Agricultura. República do Paraguai.,644,9,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1794-1819,1,5,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,X,
"Jornal Revolución. Organo del Movimiento 26 de Julio (jornal com 14 páginas) Obs.: constam Índices Analítico e de Matéria (em pasta) - Lunes de Revolución - elaborados pela Dra. Elena Ginaldes, 1977.",1331,29,,"Cuba, Havana",Jornal Revolución.,02-01 a 28-02/1959,1,1,Microfilmes,Cuba-Havana,Pos/35mm,,,,,
Viajantes Estrangeiros. Ministério das Relações Exteriores - RJ -  Obras de: F. Dabadie; B.V.Mackenna; A.J.Kennedy; C.d'Ursel; W.S.Auchincloss; L.d'Assumpção; M.R.Viot; C.Lambert and S.Lambert; E.Michel; P.Fountain; F. Vincent; A.Lomonaco; F. Courcy; E. Montet; V.Grossi; F.Alcock.,610,408,,"França, Inglaterra, Chile, Portugal,EUA, Itália, Argentina, Suiça",Ministério das Relações Exteriores - RJ - Viajantes estrangeiros.,1861-1942/1853-1903,1,3 e 4,Microfilmes,França,Neg/35mm,,,,,
Viajantes Estrangeiros. Ministério das Relações Exteriores - RJ. Obras de: C.Expilly; A.Toussaint-Samson.,625,409,,"França, Paris/Brasil, Rio de Janeiro",Ministério das Relações Exteriores - RJ - Viajantes estrangeiros.,1862-1883,1,5,Microfilmes,"França, Paris/Brasil, Rio de Janeiro",Neg/35mm,,,,,
533. American Economic Review.,1016,89,América do Norte,EUA,533. American Economic Review.,out/65-jul/66,1,1,Microfilmes,EUA,Neg/35mm,,,,,
