Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
PJ-001,,O Brasil de Armando Salles de Oliveira,,Armando Salles de Oliveira,,24/12/87,São Paulo - SP,,"Jornal OESP, Suplemento Cultural",,,Localização: PJ001,
47-PS,,"O professor da USP e diretor do Museu Paulista, Ulpiano Bezerra de Menezes fala sobre patrimônio cultural",Revista Memória,Patrimônio Cultural;  Ulpiano Bezerra de Menezes,,out. 1991/ mar. 1992,s.l.,,Revista,"v. 4,  n. 13",p.13-19,,
04-PS,,Os vários mundos de um humanista,Revista Ciência Hoje,Antonio Cândido,,jun. 1993,[Rio de Janeiro - RJ],,Revista,"v.16, n. (91): 28-41",,Localização: Dep. 04-PS. Depoimentos com retratos,
24-PS,"BELLOTO, Heloisa",Em busca da recuperação do passado,Revista Memória,,,14-20 abr.-jun. 1992,s.l.,,Revista,n.4,,Localização: Dep. 24-PS. Depoimentos com retarato,
23-PS,"CILLENTO, Giuseppe","Perfil. Giuseppe Cilento tem sido um dos grandes responsáveis pela formação de novos pesquisadores  no Brasil. E se dedica atualmente a estudar o que ele chama de ""Fotobiologia em luz""",Revista Ciência Hoje,Giuseppe Cilento,,s.d.,Rio de Janeiro - RJ,,Revista,"v.11, n.55",p.50-58,Com fotos da Química - USP. Localização: Caixa de Depoimentos,
32-PS,"DAMY, Marcelo",Perfil. ,Revista Ciência Hoje ,Marcelo Damy,,jan.-fev./1992,Rio de Janeiro - RJ,,Revista,"v.79, n.14",p.46-53,Com retratos. Localização: Caixa de Depoimentos.,
51-PS,"IGLÉSIAS, Francisco",Perfil: professor emérito da Universidade Federal de Minas Gerais. ,Ciência Hoje,,,1991,Minas Gerais,,Revista,"n.13 (73), jun.",,"Nessa entrevista o autor fala de sua paixão pelo tempo presente e afirma que o ofício de historiador é legítimo. Com fotos de Sérgio Buarque, Odilon de Matos Nogueira e Eurípedes Simões de Paula.",
10-PS,"LATTES, Cesar","Entrevista: Modéstia, ciência e sabedoria",,,,1995,São Paulo-SP,,Entrevista-Revista Ciência Hoje,"n.113, v.19 ago.",p.10-22,"Entrevista à  Micheline Mussensveg, Cassio Leite Vieira, Fernando de Souza Barros. ",
52-PS,"VANUCCI, Marta",Perfil: Senso de responsabilidade e dever,Ciência Hoje,,,1993,,,Revista,"vol.16, n.93:, agosto",p.52-60,Depoimento CX1,
AB0001,"SOUZA, Maria Adélia A de",O Espaço da USP: presente e futuro.,,,Prefeitura da Universidade de São Paulo,1985,São Paulo-SP,,,,256p.,constam 2 exemplares,
AB0002,FFLCH-USP,"Faculdade de Filosofia, FFLCH-USP, 1934-2003",,FFLCH-USP,FFLCH-USP,2003,São Paulo - SP,2a. ed.,[livreto],,51p.,,
AB0003,"SIMSON, Olga R. de Moraes von (org.)",Revisitando a terra de contastes: a atualidade da obra de Roger Bastide,,,FFLCH - CERU,1986,São Paulo - SP,,Seminário,4,105p.,Seminário de Cultura Brasileira.,
AB0004,"CATANI, D. B. (org.)","Universidade, escola e formação de professores",,Educação,Brasiliense,1986,São Paulo - SP,,Livro,,,,
AB0005,"CAMPOS, Ernesto de Souza",História da Universidade de São Paulo,,USP,Saraiva,1954,São Paulo - SP,,Livro,,582p.,Edição Comemorativa do 4o. Centenário de São Paulo,
