Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
,,,,,,,,,,
A,,,,,,,,,,
MCA-01,"Andrade, Homero Freitas de",Memorial + Currículo ,Concurso Público de Títulos e provas na função de Professor Doutor  (MS-3) na Área de Língua e Literatura Russa e Soviética,,Departamento de Letras Orientais ,São Paulo,s.d.,35p. ,,Módulo 1      Cx. A-1
MCA-02,"Arruda, José Jobson de Andrade",Memorial + Currículo,,,Departamento de História ,São Paulo,s.d. ,40p. ,,Módulo 1      Cx. A-1
MCA- 03,"Araújo Filho, José Ribeiro de ",Currículo,,,Departamento de Geografia ,São Paulo,1968,8p. ,,Módulo 1      Cx. A-1
MCA-04,"Arruda, José Jobson de Andrade",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na disciplina de História Moderna ,,Departamento de História ,São Paulo,1982,37p. ,,Módulo 1      Cx. A-1
MCA-05,"Altmann, Werner",Memorial ,"Concurso público de Ingresso em História das Idéias, da Cultura e das Instituições",,Departamento de História ,São Paulo,1987,14p. ,,Módulo 1      Cx. A-1
MCA-06,"Abreu, Sérgio França Adorno de",Memorial + Currículo,Concurso para provimento efetivo de cargo de  Professor Assistente do conjunto de disciplinas de Sociologia,,Departamento de Sociologia ,São Paulo,1988,66p. ,,Módulo 1      Cx. A-1
MCA-07,"Andrade, Margarida Maria de ",Memorial + Currículo,Concurso público de Títulos e provas  na função de Professor Assistente,,Departamento de Geografia ,São Paulo,1988,43p. ,,Módulo 1      Cx. A-1
MCA-08,"Arruda, Maria Arminda do Nascimento",Memorial + Currículo,,,Departamento de Sociologia ,São Paulo,1988,39p. ,,Módulo 1      Cx. A-1
MCA-09,"Andrade, Margarida Maria de ",Memorial - Complemento,Complemento ao Concurso para provimento de cargo de Prof. Assistente,,Departamento de Geografia ,São Paulo,1990,03p. ,,Módulo 1      Cx. A-1
MCA-10,"Arrigucci Júnior, Davi ",Memorial ,Concurso público de Títulos e provas na função de Professor ,,Departamento de Teoria Literária e Literatura Comparada ,São Paulo,1990,33p. ,,Módulo 1      Cx. A-1
MCA-11,"Abdala Júnior, Benjamin ",Memorial + Currículo,Concurso público de Títulos e provas ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,1992,122p. ,,Módulo 1      Cx. A-1
MCA-12,"Amaral, Gloria Carneiro do ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Francesa ,Sandra Margarida Nitrini - DTLLC-FFLCH/ Leyla Beatriz Perrone-Moisés - DLM-FFLCH/ Antonio Arnoni Prado - UNICAMP/ Roberto Mauro  Cortez Motta - UFPE/ Edson Rosa da Silva - UFRJ,Departamento de Letras Modernas ,São Paulo,2005,15p. + Currículo - 20p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. A-1
