"nid","title","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload"
1376,"Curso de Inglês Geral para Funcionários USP – ALUNOS NOVOS","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inscritos dia 09_12 (manhã).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inscritos dia 09_12 (tarde).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inscritos dia 10_12.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inscritos dia 11_12.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inscritos 04_12.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inscritos dia 05_12.pdf","",,,
1484,"Curso Intensivo - Inglês para Escrita Acadêmica na Área de Exatas","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Programa de curso - Inglês para escrita acadêmica Ciências exatas 2014-2.pdf",,,,,,,,,
1541,"Inglês para Escrita Acadêmica","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/RESULTADO DO TESTE DE SELECAO ESCRITA ACADEMICA 02 DE FEV 2016.pdf",,,,,,,,,
3911,"Inglês para Prática Comunicativa - Nível 2 (antigo Inglês para Graduandos - Nível 2)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/_Inglês para prática comunicativa - Nível II qse.pdf",,,,,,,,,,
3912,"Inglês para Prática Comunicativa - Nível 3 (antigo Inglês para Graduandos - Nível 3)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/_Inglês para prática comunicativa - Nível III qse.pdf",,,,,,,,,,
2411,"francês 1","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ACFrOgD0YdFE3UZR7P78eCOMHocg2CIvgPpX2Fs2Y0aSw9ucMQXFiSwuvGIOjAh57oDd7kpBHtAVSSRqGpbTSuN64SfVIpTKmaO--TsVw4kOmKkbseuB-dNwGdJ1bdQ=.pdf",,,,,,,,,,
1150,"Inglês para Funcionários - Pró-Reitoria de Pós-Graduação","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Alunos que podem se inscrever PRPOG.pdf",,,,,,,,,,
1255,"Funcionários da reitoria - PRPG- Básico A1 - Módulo 3","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Alunos que poderão fazer a matrícula no curso.pdf",,,,,,,,,,
4054,"Inglês para Leitura de Textos - Nível 2","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ANA SILVIA Programa_unificado_Ingles_leitura nivel 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Documento sem título(4).pdf",,,,,,,,,
4057,"Inglês para Prática Comunicativa - Nível 3","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ANGELA Programa IPC3 1sem2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado do teste nivel IPC 19.02.2020(1)_0.pdf",,,,,,,,,
4059,"Inglês para Prática Comunicativa - Nível 2","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/bolsa praticas 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ANGELA Programa IPC2 1sem2020.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado do teste nivel IPC 19.02.2020(1).pdf",,,,,,,,
3906,"Inglês em Contexto Acadêmico","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Contexto Academico.pdf",,,,,,,,,,
3880,"Japonês IV - Fuyu","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Divulgação QSE fuyu.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado.teste_.nivel_Japones4.FUYU_jul.2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/conteudo.estudado.ate_.Japones3-AKI.pdf",,,,,,,,
3918,"Inglês para Leitura de Textos I","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Divulgação QSE leitura de textos 1.pdf",,,,,,,,,,
3882,"Japonês II – Natsu","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Divulgação QSE_1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado.teste_.nivel_Japones2.NATSU_ago.2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/conteudo.estudado.Japones1-HARU.pdf",,,,,,,,
3887,"CURSO PREPARATÓRIO PARA N3 DO JLPT – PARTE 2","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Divulgação QSE_3.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/conteudo.para_.teste_.nivel_N3-P1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/resultado.teste_.nivel_Prep.N3(2)_jul.2019.pdf",,,,,,,,
925,"Conversação em Português Língua Estrangeira- Curso de férias","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição CPLE férias.odt",,,,,,,,,,
772,"Conversação em Português Língua Estrangeira- CPLE","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição CPLE.doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição CPLE (1).doc",,,,,,,,,
