"nid","title","field_corpo_","field_infovideo","field_playlist","field_tipo_video"
"2293","AULA INAUGURAL DO CURSO DE FILOSOFIA 2020: A INVENÇÃO DO LEITOR","<p><span style=""color:rgb(81, 95, 92); font-family:noto sans; font-size:16.848px"">Prof. Dr. Luiz Fernando Franklin de Mattos</span></p>
","","","1"
"2161","Aula inaugural 2018: Demagogia antiga, populismo moderno","<p><big>Prof. Dr. Sérgio Cardoso</big></p>
","","","1"
"2160","XXI Encontro Nacional de Pesquisa na Graduação em Filosofia da USP - Presente contextualizado: Filosofia em Movimento ","<p>Realização: 23 a 27 de abril de 2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1245"">http://filosofia.fflch.usp.br/eventos/1245</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-style:inherit; font-variant:inherit; font-weight:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/watch?v=8ov14ofc_h4"">Playlist do evento</a> </p>
","","","10"
"2159","Ceticismo, Filosofia e História da Filosofia: Homenagem a Oswaldo Porchat","<p>Realização: de 13 a 16 de agosto de 2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1589"">http://filosofia.fflch.usp.br/eventos/1589</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-style:inherit; font-variant:inherit; font-weight:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4elEf3gGsr5c6Hz9aBA0m87X"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: rgb(105, 89, 145); text-decoration-line: none;"">P</a><a href=""https://www.youtube.com/playlist?list=PL6upVooJs4emeIazW_qGvzDLlsd9TkQU0"" target=""_blank"">laylist do evento</a> </p>
","","","40"
"2158","III Jornada de Ética e Filosofia Política: Os fins da política","<p>Realização: 10 e 11 ABRIL 2019</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1801"">http://filosofia.fflch.usp.br/eventos/1801</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-style:inherit; font-variant:inherit; font-weight:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4elM9s8JDEumtn_yvKgwHH1F"" target=""_blank"">Playlist do evento</a></p>
","","","50"
"2157","Estética da Duração","<p>Realização: 21 e 22 NOV 2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1674"">http://filosofia.fflch.usp.br/eventos/1674</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-style:inherit; font-variant:inherit; font-weight:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4ekmlgv66kg2cNZsAmFZ7f6D"" target=""_blank"">Playlist do evento </a></p>
","","","7"
"2156","Congresso Internacional Merleau-Ponty: Crítica e Contemporaneidade","<p>Realização: 28, 29 e 30 NOV 2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1605"">http://filosofia.fflch.usp.br/eventos/1605</a></p>

<p><img src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""border:0px; box-sizing:border-box; font:inherit; height:auto; margin:0px; max-width:100%; outline:0px; padding:0px; vertical-align:baseline"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4eksBvIIq7AlGV67EhXp8smj"">Playlist do evento</a></p>
","","","30"
"2155","II Jornada Grupo de Escrita de Mulheres na Filosofia (GEMF)","<p>Realização: 1/NOV/2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1661"">http://filosofia.fflch.usp.br/eventos/1661</a></p>
","","","50"
"2154","Encontro: Cognição e Linguagem","<p>Realização: 05-06 NOV 2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1635"">http://filosofia.fflch.usp.br/eventos/1635</a></p>

<p><img src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; color:rgb(88, 88, 88); font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-variant-east-asian:inherit; font-variant-numeric:inherit; height:auto; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4ely_G9n9lj4RLKjlM7fyaeE"">Playlist do evento</a></p>
","","","10"
"2152","COLÓQUIO INTERNACIONAL GILBERT SIMONDON","<p>Realização: 05 a 07/DEZ/2018</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1621"">http://filosofia.fflch.usp.br/eventos/1621</a></p>

<p><img src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4ekgXNBsjJulmQVfQP0sdxc7"" target=""_blank"">Playlist do evento</a></p>
","","","2"
"2151","AULA INAUGURAL 2019: TECNOLOGIA, IGNORÂNCIA E VIOLÊNCIA","<p>Prof. Dr. Pablo Rubén Mariconda</p>
","","","1"
"2150","Os excessos da imagem","<p>Realização: 21/FEV/2019</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1769"">http://filosofia.fflch.usp.br/eventos/1769</a></p>
","","","4"
