"nid","title","field_inicial","body"
"2320","NOVOS PROCEDIMENTOS PARA AS DEFESAS DE MESTRADO E DOUTORADO NA FFLCH-USP A PARTIR DE 23/03/2020","1","<p> </p>

<p>Tendo em vista a escala crescente das dificuldades no tocante às atividades presenciais dos docentes e funcionários, perante a pandemia do Corona Virus na cidade de São Paulo, venho pelo presente informar:</p>

<p><br />
1. A partir do dia 23/03/2020, todas as defesas, sem exceção, serão feitas exclusivamente à distância com a participação de 100% dos membros e do candidato.</p>

<p>2. A plataforma preferencial utilizada na FFLCH é o Whereby. Os funcionários terão como ""abrir"" as salas de suas residências, possibilitando o início da defesa. Outros meios como o Hangouts Meet do Google poderá ser utilizado. Todos os membros da banca devem utilizar a mesma plataforma. Caso não vá utilizar o Whereby, favor avisar com pelo menos 2 dias de antecedência.<br />
Anúnciopoderão ser utilizados, mas apenas uma plataforma será utilizada para todos os membros (ou todos no Whereby ou todos no Google Meet).</p>

<p>3. Ao final das arguições, o aluno ficará offline para as deliberações da banca. Este retornará online para a proclamação dos resultados. </p>

<p>4. Ao final, no mesmo dia da defesa, o resultado (aprovado/não aprovado) e o parecer da banca (se houver), deverá ser enviado para o email <a href=""mailto:posfflch@usp.br"">posfflch@usp.br</a>, que providenciará a Ata, que será assinada pelo Presidente da banca quando retornarem as atividades presenciais. O formulário em anexo deverá ser preenchido e enviado para o mesmo email em até 5 dias depois da defesa.</p>

<p>5. Se o aluno precisar de um comprovante da obtenção do título deverá solicitar no mesmo endereço do email, que lhe enviará um Certificado de Defesa.</p>

<p>6. Aquele orientador que não se sentir à vontade com a sessão online deverá, desde já, cancelar a defesa agendada, que será remarcada oportunamente. A Secretaria do Serviço de Pós-Graduação está conseguindo prorrogar o prazo de defesa até meados do mês de junho para os alunos que depositaram as teses entre janeiro e fevereiro de 2020 e tiverem suas defesas canceladas nesse período. Havendo a necessidade de um prazo maior, receberemos os pedidos após a normalização dos trabalhos presenciais.</p>

<p>Com essa abertura, esperamos evitar um grande número de cancelamentos de defesas, gerando um fluxo imprevisível e de difícil superação mais para a frente, quando tudo se normalizar. </p>

<p>Os canais para agendamento das defesas continua mesmo defesapos.fflch.usp.br (com cópia para a Regina - <a href=""mailto:posfflch@usp.br"">posfflch@usp.br</a>).</p>

<p>Fico à disposição de todos nesse difícil momento pelo qual todos passamos e que com certeza, iremos superar.</p>

<p><br />
Prof. Dr. Edelcio Gonçalves de Souza<br />
Presidente da CPG-FFLCH</p>

<hr />
<p> </p>
"
"2311","Informações sobre o novo Coronavírus (COVID-19)","1","<p>Prezadas e prezados,</p>

<p> </p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/principal/temporario/coronacomunicadojpg.jpg"" style=""float:right; height:142px; margin:5px; width:150px"" />Recomendamos que todos consultem o site <a href=""http://coronavirus.usp.br"">http://coronavirus.usp.br</a>, criado pela Superintendência de Comunicação Social, e que contém informações sobre decisões e ações da Universidade sobre o tema, bem como orientações a respeito da prevenção em relação ao vírus. Insistimos que esse site deve ser visitado frequentemente, pois, em função da evolução da doença, as informações serão atualizadas continuamente.</p>

<div>
<p> </p>

<p>Comunicados Oficiais da FFLCH e da USP sobre o assunto: <a href=""https://www.fflch.usp.br/2155"">https://www.fflch.usp.br/2155</a></p>

<p> </p>

<p>Cruesp divulga comunicado sobre suspensão das aulas nas universidades a partir de 17/03: <br />
<a href=""https://jornal.usp.br/institucional/cruesp-divulga-comunicado-sobre-suspensao-das-aulas-nas-universidades-a-partir-de-17-03/"">https://jornal.usp.br/institucional/cruesp-divulga-comunicado-sobre-suspensao-das-aulas-nas-universidades-a-partir-de-17-03/</a></p>

<p> </p>

<p><strong>NOVO </strong><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/atencao.png"" style=""height:14px; width:14px"" /> Comunicado da Reitoria sobre a suspensão de aulas presenciais, eventos, atividades culturais e de extensão:<br />
<a href=""https://jornal.usp.br/institucional/reitor-divulga-novas-medidas-de-restricao-sobre-coronavirus-para-comunidade-universitaria/"">https://jornal.usp.br/institucional/reitor-divulga-novas-medidas-de-rest...</a></p>

<p> </p>

<hr /></div>
"
"2292","Lançamento","1",""
"2291","Nota de Falecimento","2","<p class=""rtejustify""><strong>Pierre Aubenque (1929-2020)</strong></p>

<p class=""rtejustify""> </p>

<p class=""rtejustify""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/docentes/memoria/pierre-aubenque.jpg"" style=""border-style:solid; border-width:5px; float:left; height:143px; margin:10px; width:200px"" />O Departamento anuncia, com grande tristeza, o falecimento do prof. Pierre Aubenque, ocorrido em 23 de Fevereiro de 2020. Pierre Aubenque foi um dos grandes intérpretes da filosofia de Aristóteles em língua francesa. Em 1962 publicou a sua tese principal de Doutorado de Estado, <em>O Problema do Ser em Aristóteles </em>(2012; tradução de Cristina Agostini e Dioclézio Faustino); no ano seguinte, é publicada sua tese complementar, <em>A Prudência em Aristóteles</em> (1963; tradução brasileira de Marisa Lopes em 2008; resenhado em <a href=""https://www1.folha.uol.com.br/fsp/resenha/rs1303200405.htm"">https://www1.folha.uol.com.br/fsp/resenha/rs1303200405.htm</a>). Ambos os livros têm uma forte influência de Heidegger, de quem Aubenque era um grande conhecedor. No primeiro, Aubenque insistiu na ideia que a metafísica era inacabada porque inacabável (daí seu interesse sobre a natureza da aporia e da dialética em Aristóteles); no segundo, pôs em evidência a função do prudente na determinação da ação correta no meio da circunstancialidade e da variabilidade em que ocorre a ação humana (donde seu interesse pela marca trágica do ato humano). Quando se tornou professor em Paris IV, passou a dirigir o Centro Léon Robin, tornando-o um centro de referência internacional, por onde passaram os mais importantes pesquisadores da filosofia de Aristóteles da época. Aclamado internacionalmente, era um leitor extremamente arguto e sensível, capaz de dar a expressões correntes da língua francesa um súbito estatuto metafísico. Fluente em diversas línguas (em especial no alemão), nunca cedeu às tentações de uma <em>língua franca</em>, pois via, como filósofo, uma conexão íntima entre reflexão e língua natural. Professor generoso, recebia com extrema cordialidade os jovens pesquisadores e doutorandos que se apresentavam em Paris IV. Em seus últimos cursos na Sorbonne, ao citar Heidegger certa vez, viu um aluno retirar-se da sala em protesto; fez então uma defesa da potência filosófica do pensamento heideggeriano, ao mesmo tempo em que reconhecia o lado sombrio da pessoa de Heidegger. Pierre Aubenque foi um dos grandes intelectuais franceses da metade final do século passado, representante por excelência de um estilo de erudição e análise filosófica cuja profundidade e elegância a atual atarefada filosofia acadêmica, obcecada com artigos e citações Google, mal é capaz de reconhecer.</p>

<p> </p>
"
"2269","CALOURADA E AULA INAUGURAL DO CURSO DE GRADUAÇÃO EM FILOSOFIA 2020","2","<p>Prezadas e prezados,</p>

<p>o Departamento de Filosofia e o Centro Acadêmico Professor João Cruz Costa convidam para a Calourada e Aula Inaugural do Curso de Graduação em Filosofia 2020:</p>

<p> </p>

<div class=""field field-name-field-imagem-de-divulga-o field-type-image field-label-hidden eventoimg"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 12.96px; line-height: inherit; font-family: ""Noto Sans""; vertical-align: baseline; color: rgb(81, 95, 92);"">
<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;""><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia_1.jpg"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: tomato; text-decoration-line: none;""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia_1.jpg"" style=""background:rgb(240, 240, 240); border:1px solid lightgrey; box-shadow:none; box-sizing:border-box; float:left; font:inherit; height:auto; margin:0px 10px 0px 0px; max-width:100%; min-width:200px; outline:0px; padding:0px; vertical-align:baseline; width:200px"" /></a></div>

<div class=""field-item odd"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;""><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia_2.jpg"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: rgb(105, 89, 145); text-decoration-line: none;""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia_2.jpg"" style=""background:none; border:1px solid lightgrey; box-shadow:none; box-sizing:border-box; float:left; font:inherit; height:auto; margin:0px 10px 0px 0px; max-width:100%; min-width:200px; outline:0px; padding:0px; vertical-align:baseline; width:200px"" /></a></div>
</div>
</div>

<div class=""fieldset-wrapper"" style=""box-sizing: border-box; margin: 15px 0px 0px; padding: 0px 10px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field field-name-field-campo-extra field-type-text field-label-hidden"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px 0px 0px 25px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: 14.256px; line-height: inherit; font-family: inherit; vertical-align: baseline; background-image: url(""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/calendario.png""); background-repeat: no-repeat; background-position: left center;"">DE 17 A 21/FEV/2020</div>
</div>
</div>

<div class=""field field-name-field-programa-o-do-evento field-type-file field-label-above"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-label"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: bold; font-stretch: inherit; font-size: inherit; line-height: inherit; font-family: inherit; vertical-align: baseline; background-repeat: no-repeat; background-position: left center;"">Cartaz e Programação do evento: </div>

<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;""><img alt=""PDF icon"" class=""file-icon"" src=""http://filosofia.fflch.usp.br/modules/file/icons/application-pdf.png"" style=""border:0px; box-sizing:border-box; font:inherit; height:auto; margin:0px; max-width:100%; outline:0px; padding:0px; vertical-align:baseline"" title=""application/pdf"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia.pdf"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: rgb(105, 89, 145); text-decoration-line: none;"" type=""application/pdf; length=2218705"">2020_calourada_filosofia.pdf</a><span style=""font-family:inherit; font-size:inherit""> </span></div>
</div>
</div>

<div class=""field field-name-field-org field-type-text field-label-above"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">Coordenação: Prof. Alex de Campos Moura.</div>

<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">Org.: Departamento de Filosofia e Centro Acadêmico Professor João Cruz Costa<br />
Maiores informações:  <a href=""http://filosofia.fflch.usp.br/eventos/2268"">http://filosofia.fflch.usp.br/eventos/2268</a></div>
</div>
</div>
</div>

<p> </p>

<hr />
<p> </p>

<div class=""field field-name-field-imagem-de-divulga-o field-type-image field-label-hidden eventoimg"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 12.96px; line-height: inherit; font-family: ""Noto Sans""; vertical-align: baseline; color: rgb(81, 95, 92);"">
<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;""><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_AULA_INAUGURAL.jpg"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: tomato; text-decoration-line: none;""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_AULA_INAUGURAL.jpg"" style=""background:rgb(240, 240, 240); border:1px solid lightgrey; box-shadow:none; box-sizing:border-box; float:left; font:inherit; height:auto; margin:0px 10px 0px 0px; max-width:100%; min-width:200px; outline:0px; padding:0px; vertical-align:baseline; width:200px"" /></a></div>
</div>
</div>

<div class=""fieldset-wrapper"" style=""box-sizing: border-box; margin: 15px 0px 0px; padding: 0px 10px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field field-name-field-ministrantes field-type-text-long field-label-hidden"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: 16.848px; line-height: inherit; font-family: inherit; vertical-align: baseline;"">AULA INAUGURAL DE FILOSOFIA 2020: A INVENÇÃO DO LEITOR</div>

<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: 16.848px; line-height: inherit; font-family: inherit; vertical-align: baseline;"">Prof. Dr. Luiz Fernando Franklin de Mattos</div>
</div>
</div>

<div class=""field field-name-field-campo-extra field-type-text field-label-hidden"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px 0px 0px 25px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: inherit; font-stretch: inherit; font-size: 14.256px; line-height: inherit; font-family: inherit; vertical-align: baseline; background-image: url(""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/calendario.png""); background-repeat: no-repeat; background-position: left center;"">QUINTA-FEIRA, 20/FEV/2020 às 19h00</div>
</div>
</div>

<div class=""field field-name-field-programa-o-do-evento field-type-file field-label-above"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-label"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-weight: bold; font-stretch: inherit; font-size: inherit; line-height: inherit; font-family: inherit; vertical-align: baseline; background-repeat: no-repeat; background-position: left center;"">Cartaz e Programação do evento: </div>

<div class=""field-items"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;"">
<div class=""field-item even"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline;""><img alt=""PDF icon"" class=""file-icon"" src=""http://filosofia.fflch.usp.br/modules/file/icons/application-pdf.png"" style=""border:0px; box-sizing:border-box; font:inherit; height:auto; margin:0px; max-width:100%; outline:0px; padding:0px; vertical-align:baseline"" title=""application/pdf"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_AULA_INAUGURAL.pdf"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: rgb(105, 89, 145); text-decoration-line: none;"" type=""application/pdf; length=4908203"">2020_AULA_INAUGURAL.pdf</a></div>

<p> Maiores Informações: <a href=""http://filosofia.fflch.usp.br/eventos/2231"">http://filosofia.fflch.usp.br/eventos/2231</a></p>
</div>
</div>
</div>
"
"2221","Edital FFLCH/FLF nº 026/2019 - Professor Doutor História da Filosofia Moderna II","2","<p><span style=""font-size:14px"">Caras e caros,<img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/edital.png"" style=""float:right; height:150px; margin:10px; width:150px"" /></span></p>

<p> </p>

<p><span style=""font-size:14px"">estarão abertas inscrições para o concurso público de títulos e provas visando o provimento de 01 (um) cargo de Professor Doutor do Departamento de Filosofia, disciplina de <strong>História da Filosofia Moderna II</strong> da Faculdade de filosofia, Letras e Ciências Humanas da Universidade de São Paulo.</span></p>

<p> </p>

<p><span style=""font-size:14px""><strong>Período de Inscrição: </strong>06/01/2020 até 14/02/2020</span></p>

<p><span style=""font-size:14px""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/pdf_icon.gif"" style=""height:16px; width:16px"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/edital_flf_no_026-2019_-_historia_da_filosofia_moderna_ii.pdf"">Baixar edital</a><br />
<a href=""https://uspdigital.usp.br/gr/admissao"">+ Inscrições e maiores informações</a></span></p>
"
"2257","Nota de Falecimento","2","<p><big>Anna Carolina Krebs Pereira Regner (1947 – 2020)</big></p>

<p> </p>

<p class=""rtejustify""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/docentes/memoria/aregner.jpg"" style=""border-style:solid; border-width:10px; float:left; height:280px; margin:10px; width:250px"" />Faleceu ao final de Janeiro deste ano a professora Anna Carolina Krebs Pereira Regner. Por longo tempo, ela atuou no Departamento de Filosofia da UFRGS; posteriormente, atuou no Departamento de Filosofia da UNISINOS. Professora infatigável, de grande generosidade, Anna Carolina, como era mais conhecida entre nós, marcou com um selo humano as por vezes muito ásperas e abstratas discussões em filosofia. Dedicou-se ao estudo da história e filosofia das ciências modernas. Neste âmbito encontrou seu primeiro grande filósofo, Paul Feyerabend, cujas ideias ela ajudou a disseminar em nosso meio acadêmico. Foi, contudo, seu encontro com Charles Darwin que marcou definitivamente sua carreira. Dedicou ao estudo da obra de Darwin todas as suas forças – e eram muitas, todas de grande competência. Ela dispunha de um conhecimento invejável dos meandros da teoria da evolução e de sua recepção contemporânea; quando atuou nos Estados Unidos como pesquisadora visitante, acompanhou com muito interesse a já virulenta disputa entre evolucionistas e criacionistas. Tudo o que tocava ganhava um toque de humanidade. Soube, assim, temperar seu entusiasmo pelo darwinismo estudando elementos retóricos e metafóricos na constituição da teoria da evolução, recolocando deste modo uma das mais geniais teorias científicas de nossa época em um diapasão humano de descoberta e invenção. Sempre atenta aos alunos e colegas, promovia reuniões e debates em proveito de todos, o que a levou naturalmente a ser membro fundador da Associação de Filosofia e História da Ciência do Cone Sul, bem como da Associação Brasileira de Filosofia e História da Biologia. Seu sorriso franco, sua paixão pela clareza e seu amor pelo conhecimento a tornavam inesquecível para todos os que tiveram o imenso prazer de conviver com ela.</p>

<p class=""rtejustify""> </p>

<p class=""rteright"">Prof. Marco Antônio de Àvila ZIngano</p>

<p class=""rteright""> </p>

<p class=""rteright""> </p>
"
"2249","Princeton-USP-Panamericana Consortium in Ancient Philosophy - Workshop on Aristotle Categories 8 - 15","2","<p>Entre os dias 17, 18 e 19 de janeiro de 2020, foi realizado no Departamento de Filosofia o evento ""Princeton-USP-Panamericana Consortium in Ancient Philosophy - Workshop on Aristotle Categories 8 - 15"" coordenado pelo Prof. Marco Antonio Zingano de Ávila.</p>

<table align=""center"" border=""0"" cellpadding=""10"" cellspacing=""0"" style=""width:100%"">
	<tbody>
		<tr>
			<td style=""border-color:rgb(255, 255, 255)""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/principal/temporario/IMG_6314.JPG"" style=""width:80%"" /></td>
			<td style=""border-color:rgb(255, 255, 255)""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/principal/temporario/IMG_6322.JPG"" style=""width:80%"" /></td>
			<td style=""border-color:rgb(255, 255, 255)""><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/principal/temporario/IMG_6334.JPG"" style=""width:80%"" /></td>
		</tr>
	</tbody>
</table>

<p><strong>Reading Aristotle Across the Americas</strong></p>

<p class=""rtejustify"">For three days, from January 17 to 19, 2020, a delegation of two faculty members and eight graduate students of Princeton's Program in Classical Philosophy was in São Paulo to discuss the second half of Aristotle's foundational work Categories with faculty members and graduate students from Universidade de São Paulo (USP) and Universidad Panamericana in Mexico. Everyone learned a lot, and an excellent time was had by all participants, thanks to the outstanding hospitality of the workshop's wonderful hosts at USP. This was the second installment of a three-year initiative that is partly funded by a Global Collaborative Network grant from the Office of the Associate Provost for International Affairs and Operations. The workshop was organized by Professors Marco Zingano at USP, Brazil LAB associate Hendrik Lorenz at Princeton, and María Elena García Pelaez Cruz at Universidad Panamericana.   </p>
"
"2233","Goiânia receberá o XIX Encontro da Anpof em 2020","2","<p> </p>

<div class=""media_embed"" height=""315px"" width=""560px""><iframe frameborder=""0"" height=""315px"" src=""https://www.youtube.com/embed/XQM2mkAnbmI"" width=""560px""></iframe></div>

<p> </p>
"
"2207","Resultado da eleição de Representante Discente de Filosofia - 2019","2","<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/principal/temporario/representante_discente_2019.jpg"" style=""width:80%"" /></p>
"
