"nid","title","field_tipo","field_p_gina_inicial","field_dg","field_disciplina_de_p_s_gradua_o","field_professor_a_texto","field_data_expira_home","field_corpo|value","field_corpo|format"
"2328","RESULTADO - PROGRAMA DE DOUTORADO SANDUÍCHE NO EXTERIOR - EDITAL Nº 03/2020 – PrInt USP/CAPES","posgraduacao/quadro",NA,"","","","2020-04-27","<p>Acesse: <a href=""http://filosofia.fflch.usp.br/print/pdse/resultado/03-2020"">http://filosofia.fflch.usp.br/print/pdse/resultado/03-2020</a></p>

<p>Acompanhe também esta e outras informações em: <a href=""http://filosofia.fflch.usp.br/print/pdse"">http://filosofia.fflch.usp.br/print/pdse</a></p>","full_html"
"2326","Prorrogação das inscrições para a Seleção Conjunta PIC/PET e Renovação PIC 2020/2021","graduacao/quadro, ic/quadro",NA,"","","","2020-04-27","<p>Prezadas(os) alunas(os),</p>

<p>a inscrição para a Seleção Conjunta PIC/PET e Renovação PIC 2020/2021 foi prorrogada até o dia 27/04/2020.</p>

<p>Acompanhe: <a href=""http://filosofia.fflch.usp.br/ic/selecaoconjunta"">http://filosofia.fflch.usp.br/ic/selecaoconjunta</a></p>","full_html"
"2322","LISTA CLASSIFICATÓRIA - PROGRAMA DE DOUTORADO SANDUÍCHE NO EXTERIOR - EDITAL Nº 03/2020 – PrInt USP/CAPES","posgraduacao/quadro",NA,"","","","2020-03-27","<p>Acesse: <a href=""http://filosofia.fflch.usp.br/print/pdse/classificacao/03-2020"">http://filosofia.fflch.usp.br/print/pdse/classificacao/03-2020</a></p>

<p>Acompanhe também esta e outras informações em: <a href=""http://filosofia.fflch.usp.br/print/pdse"">http://filosofia.fflch.usp.br/print/pdse</a></p>","full_html"
"2317","CANCELAMENTO DE DISCIPLINA","posgraduacao/quadro",NA,"","FLF5267 - Teoria das Ciências Humanas (A História da Sexualidade, de Michel Foucault: temas, questões e problemas)","Prof. Dr. Ernani Pinheiro Chaves (UFPA)","2020-03-31","<p>Prezados alunos e interessados,</p>

<p> </p>

<p>em razão dos últimos acontecimentos relacionados ao Coronavírus COVID-19, a disciplina FLF5267 - Teoria das Ciências Humanas (A História da Sexualidade, de Michel Foucault: temas, questões e problemas)  que seria ministrada pelo Prof. Dr. Ernani Pinheiro Chaves (UFPA) está CANCELADA.</p>","full_html"
"2313","INSCRIÇÕES RECEBIDAS - PROGRAMA DE DOUTORADO SANDUÍCHE NO EXTERIOR - EDITAL Nº 03/2020 – PrInt USP/CAPES","posgraduacao/quadro",NA,"","","","2020-03-23","<p>Acesse: <a href=""http://filosofia.fflch.usp.br/print/pdse/inscricoes/03-2020"">http://filosofia.fflch.usp.br/print/pdse/inscricoes/03-2020</a></p>

<p>Acompanhe também esta e outras informações em: <a href=""http://filosofia.fflch.usp.br/print/pdse"">http://filosofia.fflch.usp.br/print/pdse</a></p>","full_html"
"2310","Classroom da disciplina","graduacao/quadro",NA,"FLF0462 Teoria das Ciências Humanas III","","Prof. Dr. Luiz Sérgio Repa","2020-03-31","<p><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Caras alunas e caros alunos de Teoria das ciências humanas III,</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">comunico o código do classroom a ser utilizado ao longo do semestre: q2yw4q5</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Dado o nosso contexto, peço que se inscrevam logo na turma para que eu possa ter uma comunicação mais direta com todos vocês o quanto antes.</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Atenciosamente,</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Prof. Luiz Repa</span></p>

<p> </p>

<p><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Acesse: </span><a href=""https://classroom.google.com/u/0/"">https://classroom.google.com</a></p>","full_html"
"2302","Resultado Final do Processo de Seleção de Bolsas NOVAS de MESTRADO E DOUTORADO - 1/2020","posgraduacao/quadro",NA,"","","","2020-03-10","<p>Saiba mais: <a href=""http://filosofia.fflch.usp.br/posgraduacao/bolsas/selecao"">http://filosofia.fflch.usp.br/posgraduacao/bolsas/selecao</a></p>","full_html"
"2297","Solicitação de recurso para o Processo de Seleção de Bolsas NOVAS de MESTRADO E DOUTORADO - 1/2020","posgraduacao/quadro",NA,"","","","2020-03-03","<p>Prezados(as) alunos(as),</p>

<p> </p>

<p>Se encontra disponível o formulário de solicitação de recursos do Processo de Seleção de Bolsas NOVAS de MESTRADO E DOUTORADO - 1/2020</p>

<p>Saiba mais: <a href=""http://filosofia.fflch.usp.br/posgraduacao/bolsas/selecao"">http://filosofia.fflch.usp.br/posgraduacao/bolsas/selecao</a></p>","full_html"
"2295","Lista classificatória do Processo de Seleção de Bolsas NOVAS de MESTRADO E DOUTORADO - 1/2020","posgraduacao/quadro",NA,"","","","2020-03-05","<p>Prezados(as) alunos(as),</p>

<p>já está disponível para consulta a Lista classificatória do Processo de Seleção de Bolsas NOVAS de MESTRADO E DOUTORADO - 1/2020</p>

<p>Saiba mais: <a href=""http://filosofia.fflch.usp.br/posgraduacao/bolsas/selecao"">http://filosofia.fflch.usp.br/posgraduacao/bolsas/selecao</a></p>","full_html"
"2285","PROGRAMA DE DOUTORADO SANDUÍCHE NO EXTERIOR - EDITAL Nº 03/2020 – PrInt USP/CAPES","posgraduacao/quadro",NA,"","","","2020-03-13","<p><span style=""color:rgb(88, 88, 88); font-family:cambria,serif; font-size:16px"">O Pró-reitor de Pós-Graduação da USP, no exercício das competências previstas no convênio </span><em>PrInt</em><span style=""color:rgb(88, 88, 88); font-family:cambria,serif; font-size:16px""> USP/CAPES, torna público o Edital de seleção de candidaturas para o Programa de Doutorado Sanduíche no exterior.</span></p>

<p> </p>

<p><span style=""color:rgb(88, 88, 88); font-family:cambria,serif; font-size:16px""><strong>Inscrição on-line:</strong> </span><span style=""color:rgb(88, 88, 88); font-family:cambria,serif; font-size:16px"">20 de fevereiro a 13 de março de 2010</span></p>

<p><span style=""color:rgb(88, 88, 88); font-family:cambria,serif; font-size:16px""><strong>Saiba mais:</strong> <a href=""http://filosofia.fflch.usp.br/print/pdse"">http://filosofia.fflch.usp.br/print/pdse</a></span></p>","full_html"
