"nid","title","field_tipo_editais","field_publicar_na_p_gina_inicial","field_in_cio_inscri_o|value","field_in_cio_inscri_o|end_value","field_anexar_edital","field_linkconcurso","field_informacoes_oportunidades|value","field_tipo","field_informacoes_oportunidades|format"
"2242","EDITAL Nº001/2020 - PGF PNPD/CAPES DA UNIVERSIDADE FEDERAL DE MARINGÁ","2",,"2020-01-15T03:00:00","2020-01-31T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/edital_001_2020_inscricao_pnpd.pdf","","<p>Estão abertas inscrições no período de 15 a 31 de janeiro de 2020 para <span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Processo Seletivo para Programa Nacional de Pós-Doutorado (PNPD)/CAPES da Universidade Estadual de Maringá. Maiores informações no Edital em anexo.</span></p>","posdoc/quadro","full_html"
"2241","2020 INTERNATIONAL POSTDOCTORAL PROGRAM CEBRAP","2",,"2020-01-08T03:00:00","2020-02-28T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/cebrap_ipp_edital_2020.pdf","https://cebrap.org.br/ipp/","<p class=""rtejustify""><span style=""color:rgb(0, 0, 0); font-family:calibri,arial,helvetica,sans-serif; font-size:16px"">Abertura da seleção de 2020 do Programa Internacional de Pós-Doutorado (IPP), do Centro Brasileiro de Análise e Planejamento (CEBRAP), em São Paulo. </span></p>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">Seguindo a tradição teórica e metodologicamente plural do Centro e as experiências anteriores de formação de quadros desta Casa, o IPP selecionará 15 doutoras/es das áreas de antropologia, ciência política, demografia, direito, economia, filosofia, história e sociologia, com interesses de pesquisa alinhados ao grupo de pesquisadoras/es do CEBRAP que atuam como supervisoras/es do Programa. </div>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">As/os pós-doutorandas/os executarão atividades de pesquisas por, no mínimo, 1 ano. É obrigatória a presença física das/os pós-doc selecionadas/os nos Seminários Internos do IPP, com ocorrência quinzenal. Também, nos Seminários Externos, anualmente. Ao final do período, elas/es deverão apresentar uma produção científica: artigo, livro ou capítulo de livro. </div>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">Alertamos que as inscrições se encerram no dia <strong>28 de fevereiro </strong>de 2020. O resultado final será divulgado em <strong>22 de abril</strong> de 2020 e as/os pós-doutoras/es iniciarão as atividades no CEBRAP, em <strong>13 de agosto </strong>de 2020. </div>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;""> </div>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;"">Para saber mais sobre o IPP, acesse: <a href=""https://cebrap.org.br/ipp/"" style=""color: rgb(17, 85, 204);"" target=""_blank"">https://cebrap.org.br/ipp/</a></div>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;""> </div>

<div class=""rtejustify"" style=""color: rgb(0, 0, 0); font-family: Calibri, Arial, Helvetica, sans-serif; font-size: 16px;""> </div>","posdoc/quadro","full_html"
"2220","Edital FFLCH/FLF nº 026/2019 - Professor Doutor","1","1","2020-01-06T03:00:00","2020-02-14T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/edital_flf_no_026-2019_-_historia_da_filosofia_moderna_ii.pdf","https://uspdigital.usp.br/gr/admissao","<p>Caras e caros,</p>

<p> </p>

<p>estarão abertas inscrições para o concurso público de títulos e provas visando o provimento de 01 (um) cargo de Professor Doutor do Departamento de Filosofia, disciplina de História da Filosofia Moderna II da Faculdade de filosofia, Letras e Ciências Humanas da Universidade de São Paulo.</p>

<p> </p>","","full_html"
"2205","EDITAL Nº 102/2019 - Professor da Carreira do Magistério Superior (UFRRJ)","2",,"2019-12-09T03:00:00","2020-01-07T03:00:00","","http://www.in.gov.br/web/dou/-/edital-n-102-de-6-de-dezembro-de-2019-232157902","<p>Estão abertas as inscrições para Concurso Público de Provas e Títulos para ingresso na Carreira do Magistério Superior da UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO.</p>

<p><strong>Inscrições:</strong> O candidato deverá acessar o endereço eletrônico <a href=""http://www.ufrrj.br/concursos"">www.ufrrj.br/concursos</a>, no período compreendido entre 10h do dia 09 de DEZEMBRO de 2019 até às 15h do dia 07 de JANEIRO de 2019, considerando-se o horário oficial de Brasília/DF, assim como seguir as instruções ali contidas</p>

<p> </p>","posdoc/quadro","full_html"
"2162","EDITAL N.º 76 /2019  -  PROFESSOR ADJUNTO (UFRJ)","2",,"2019-10-02T03:00:00","2019-11-01T03:00:00","","","<p><span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Estão abertas as inscrições para o concurso de professor Adjunto em</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Filosofia moderna no departamento de filosofia da UERJ.</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">I. Requisitos acadêmicos</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Título de doutor em filosofia</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Diploma de curso de graduação em qualquer área</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">II. Datas principais</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Inscrições: de 02/10/2019 até 01/11/2019 (secretaria do IFCH)</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Prova escrita: 02/12/2019</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Prova de aula: 05/12/2019</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Entrega de Títulos e Trabalhos: 06/12/2019</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">III. Programa do concurso</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Apercepção transcendental e autoconsciência em Kant</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">O problema da coisa em si na filosofia clássica alemã</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Metafísica e crítica à metafísica no idealismo alemão</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">O eu como princípio da filosofia transcendental de Fichte</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">O problema da intuição intelectual no idealismo alemão</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Natureza e organismo na filosofia clássica alemã</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Ideal e real na filosofia de identidade de Schelling</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">Autoconsciência e reconhecimento em Hegel</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">A crítica à ciência moderna no idealismo alemão</span><br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">O belo e a arte na filosofia clássica alemã</span><br />
<br />
<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">O edital completo é acessível no endereço:</span><br />
<a href=""http://www.srh.uerj.br/site/images/IFCH_Dep._Filosofia_%C3%81rea_Hist%C3%B3ria_da_filosofia_Filosofia_Moderna_40H-ADJ-104856.2018.pdf"" rel=""noreferrer noreferrer"" style=""color: rgb(17, 85, 204); font-family: Arial, Helvetica, sans-serif; font-size: small;"" target=""_blank"">http://www.srh.uerj.br/site/images/IFCH_Dep._Filosofia_Área_História_da_filosofia_Filosofia_Moderna_40H-ADJ-104856.2018.pdf</a></p>","","full_html"
"2012","Edital N.065/19 - Professor Substituto (UFSCar)","2",,"2019-07-01T03:00:00","2019-07-18T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/edital_sao_carlos_prof_substituto_-_n._065-19.pdf","https://www.concursos.ufscar.br/home.php","<p>Estão abertas as inscrições para o processo seletivo para professor substituto de filosofia na UFSCar. As inscrições começam hoje e vão até o dia 18 de julho e devem ser realizadas no site de concursos da UFSCar:</p>

<p><strong>Campus:</strong><span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px""> São Carlos</span><br />
<strong>Setor:</strong><span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px""> Departamento de Filosofia</span><br />
<strong>Regime:</strong><span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px""> 20H</span><br />
<strong>Área:</strong><span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px""> Filosofia</span><br />
<strong>Sub-área:</strong><br />
<span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px"">Introdução à filosofia</span><br />
<br />
<strong>Vagas:</strong><span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px""> 1</span><br />
<br />
<strong>Requisitos:</strong><br />
<span style=""color:rgb(0, 0, 0); font-family:verdana,arial,helvetica,sans-serif; font-size:12px"">Título de Doutor em Filosofia.</span></p>","posdoc/quadro","full_html"
"1986","Edital ATAC-014-19-CITRAT","1",,"2019-06-03T03:00:00","2019-06-28T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/edital_atac-014-19-citrat.pdf","","<p>EDITAL DE ABERTURA DE INSCRIÇÕES PARA O PREENCHIMENTO DE UMA VAGA PARA A FUNÇÃO DE MONITOR BOLSISTA, JUNTO AO CENTRO INTERDEPARTAMENTAL DE TRADUÇÃO E TERMINOLOGIA (CITRAT).</p>","graduacao/quadro","full_html"
"1901","Administração da FFLCH procura estagiário para setor de Gerenciamento de Dados","3",,"2019-05-27T03:00:00","2019-05-31T03:00:00","","http://forms.fflch.usp.br/estagio_2019_banco_dados","<ul>
	<li>Poderão candidatar-se ao estágio os alunos regularmente matriculados nos Cursos de Graduação de Ciência da Computação, Estatística, Filosofia, Sociologia e História da USP, a partir do 4º. Semestre do curso;</li>
	<li>Habilidades desejadas<span style=""color:rgb(34, 34, 34); font-family:arial,helvetica,sans-serif; font-size:small"">: MySQL, PHP, Desing Digital, Estatística, Lógica Computacional, Técnicas de Atendimento ao Público; Conhecimento teórico ou prático na elaboração de formulário de pesquisa.</span></li>
	<li>Divulgação dos selecionados para a Entrevista: 04/06/2019;</li>
	<li>Entrevista: 05/06/2019 - a partir das 09h;</li>
	<li>Resultado Final - 06/06/2019.</li>
	<li>Maiores informações falar com Nelson pelo e-mail: <a href=""mailto:ncaetano@usp.br"" style=""color: rgb(17, 85, 204); font-family: Arial, Helvetica, sans-serif; font-size: small;"" target=""_blank"">ncaetano@usp.br</a></li>
</ul>","graduacao/quadro","full_html"
"1761","Edital ATAC-027-18-Práticas de Leitura e Escrita Acadêmicas","1",,"2019-01-02T03:00:00","2019-01-31T03:00:00","http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/editais%20e%20oportunidades/edital_atac-027-18-praticas_de_leitura_e_escrita_academicas.pdf","","","","full_html"
"1708","Concurso para professor efetivo UFRN - Ética e Filosofia Política","2",,"2018-12-26T03:00:00","2019-01-24T03:00:00","","https://1drv.ms/b/s!AmCZH8q6QKQZhmAEyPvx8XAjUkWH","<p>Inscrições vão do dia 26/12 até o dia 24/01 por meio do site da UFRN: <a href=""http://www.sigrh.ufrn.br/?fbclid=IwAR0O0baiIzC9wKIds-lVNhHQlI_hS2S9Ivs3EIFv3Iv_f0sMRgrFN5QDIIQ"" rel=""noopener nofollow"" style=""color: rgb(17, 85, 204);"" target=""_blank"">www.sigrh.ufrn.br</a> (Menu Concursos).</p>

<p>Programa e edital: <a href=""https://1drv.ms/b/s!AmCZH8q6QKQZhmAEyPvx8XAjUkWH?fbclid=IwAR3B4wXfcjphF1xdA4DLQtI-TAVt3EC7JKvrJBnJgyD1gPeY1Fpy3ln8j-E"" rel=""noopener nofollow"" style=""color: rgb(17, 85, 204);"" target=""_blank"">https://1drv.ms/b/s!AmCZH8q6QKQZhmAEyPvx8XAjUkWH</a></p>","","full_html"
