nid,title,SGA ACERVO IMAGEM,SGA ACERVO IMAGEM,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,,
3001,AP-APINAYÉ-0001,005504,5504,378,,,,,,,,62,181,,,590,730,,,,,,,,,,5504
3002,AP-APINAYÉ-0002,005505,5505,378,,,,,,,,62,115,590,, , , , ,,,,,,,,5505
3003,AR-ARAWETÉ-0001,006390,6390,35,59,416,643,,,,, , , , , , , , ,,,,,,,,6390
3004,AR-ARAWETÉ-0002,006391,6391,35,59,416,643,,,,, , , , , , , , ,,,,,,,,6391
3005,AR-ARAWETÉ-0003,006392,6392,109,172,416,643,,,,, , , , , , , , ,,,,,,,,6392
3006,AR-ARAWETÉ-0004,006393,6393,18,263,416,643,,,,, , , , , , , , ,,,,,,,,6393
3007,AS-ASURINI XINGU-0001,006394,6394,172,196,416,739,,,,, , , , , , , , ,,,,,,,,6394
3008,AS-ASURINI XINGU-0002,006395,6395,172,196,416,739,,,,, , , , , , , , ,,,,,,,,6395
3009,AS-ASURINI XINGU-0003,006396,6396,172,196,416,739,,,,, , , , , , , , ,,,,,,,,6396
3010,AS-ASURINI XINGU-0004,006397,6397,33,172,196,416,739,,,, , , , , , , , ,,,,,,,,6397
3011,AS-ASURINI XINGU-0005,006398,6398,196,,,,,,,,172,,,,416,739,,,,,,,,,,6398
3012,AS-ASURINI XINGU-0006,006399,6399,416,,,,,,,,35,282,739,, , , , ,,,,,,,,6399
3013,AS-ASURINI XINGU-0007,006400,6400,416,,,,,,,,35,58,739,, , , , ,,,,,,,,6400
3014,AS-ASURINI XINGU-0008,006401,6401,416,,,,,,,,35,59,739,, , , , ,,,,,,,,6401
3015,AS-ASURINI XINGU-0009,006402,6402,282,416,739,,,,,, , , , , , , , ,,,,,,,,6402
3016,AS-ASURINI XINGU-0010,006403,6403,416,,,,,,,,35,739,,, , , , ,,,,,,,,6403
3017,AS-ASURINI XINGU-0011,006404,6404,72,196,285,416,739,,,, , , , , , , , ,,,,,,,,6404
3018,AS-ASURINI XINGU-0012,006405,6405,58,239,416,739,,,,, , , , , , , , ,,,,,,,,6405
3019,AS-ASURINI XINGU-0013,006406,6406,285,,,,,,,,196,239,416,730, , , , ,,,,,,,,6406
3020,AS-ASURINI XINGU-0014,006407,6407,239,285,416,739,,,,, , , , , , , , ,,,,,,,,6407
3021,AS-ASURINI XINGU-0015,007337,7337,172,196,416,739,,,,, , , , , , , , ,,,,,,,,7337
3022,AS-ASURINI XINGU-0016,007338,7338,58,239,416,739,,,,, , , , , , , , ,,,,,,,,7338
3023,AS-ASURINI XINGU-0017,006418,6418,110,285,416,739,,,,, , , , , , , , ,,,,,,,,6418
3024,AS-ASURINI XINGU-0018,007339,7339,282,369,416,739,,,,, , , , , , , , ,,,,,,,,7339
3025,AS-ASURINI XINGU-0019,007340,7340,282,369,416,739,,,,, , , , , , , , ,,,,,,,,7340
3026,AS-ASURINI XINGU-0020,006410,6410,282,369,416,739,,,,, , , , , , , , ,,,,,,,,6410
3027,AS-ASURINI XINGU-0021,006414,6414,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6414
3028,AS-ASURINI XINGU-0022,006415,6415,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6415
3029,AS-ASURINI XINGU-0023,006416,6416,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6416
3030,AS-ASURINI XINGU-0024,006417,6417,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6417
3031,AS-ASURINI XINGU-0025,006411,6411,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6411
3032,AS-ASURINI XINGU-0026,006412,6412,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6412
3033,AS-ASURINI XINGU-0027,006413,6413,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6413
3034,AS-ASURINI XINGU-0028,007341,7341,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7341
3035,AS-ASURINI XINGU-0029,007342,7342,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7342
3036,AS-ASURINI XINGU-0030,007343,7343,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7343
3037,AS-ASURINI XINGU-0031,007344,7344,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7344
3038,AS-ASURINI XINGU-0032,007345,7345,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7345
3039,AS-ASURINI XINGU-0033,007346,7346,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7346
3040,AS-ASURINI XINGU-0034,006408,6408,33,282,416,739,,,,, , , , , , , , ,,,,,,,,6408
3041,AS-ASURINI XINGU-0035,007347,7347,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7347
3042,AS-ASURINI XINGU-0036,006409,,,,,,,,,,,,,,,,,,,,,,,,,
3043,AS-ASURINI XINGU-0037,007348,7348,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7348
3044,AS-ASURINI XINGU-0038,007349,7349,34,282,416,739,,,,, , , , , , , , ,,,,,,,,7349
3045,AS-ASURINI XINGU-0039,007350,7350,34,282,416,739,,,,, , , , , , , , ,,,,,,,,7350
3046,AS-ASURINI XINGU-0040,007351,7351,33,369,416,739,,,,, , , , , , , , ,,,,,,,,7351
3047,AS-ASURINI XINGU-0041,007352,7352,33,282,416,739,,,,, , , , , , , , ,,,,,,,,7352
3048,AT-ASURINI TOCANTINS-0001,006419,6419,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6419
3049,AT-ASURINI TOCANTINS-0002,006420,6420,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6420
3050,AT-ASURINI TOCANTINS-0003,006421,6421,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6421
3051,AT-ASURINI TOCANTINS-0004,006422,6422,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6422
3052,AT-ASURINI TOCANTINS-0005,006423,6423,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6423
3053,AT-ASURINI TOCANTINS-0006,006424,6424,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6424
3054,AT-ASURINI TOCANTINS-0007,006425,6425,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6425
3055,AT-ASURINI TOCANTINS-0008,006426,6426,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6426
3056,AT-ASURINI TOCANTINS-0009,006427,6427,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6427
3057,AT-ASURINI TOCANTINS-0010,006428,6428,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6428
3058,AT-ASURINI TOCANTINS-0011,006429,6429,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6429
3059,AT-ASURINI TOCANTINS-0012,006430,6430,25,114,416,739,,,,, , , , , , , , ,,,,,,,,6430
3060,AT-ASURINI TOCANTINS-0013,006431,6431,58,62,114,416,739,,,, , , , , , , , ,,,,,,,,6431
3061,AT-ASURINI TOCANTINS-0014,006432,6432,28,416,739,,,,,, , , , , , , , ,,,,,,,,6432
3062,AT-ASURINI TOCANTINS-0015,006433,6433,28,416,739,,,,,, , , , , , , , ,,,,,,,,6433
3063,AT-ASURINI TOCANTINS-0016,006434,6434,28,416,739,,,,,, , , , , , , , ,,,,,,,,6434
3064,AT-ASURINI TOCANTINS-0017,006435,6435,28,416,739,,,,,, , , , , , , , ,,,,,,,,6435
3065,AW-AWETI KAYAMURÃ-0001,005495,5495,90,413,610,,,,,, , , , , , , , ,,,,,,,,5495
3066,AW-AWETI KAYAMURÃ-0002,005496,5496,72,88,413,610,,,,, , , , , , , , ,,,,,,,,5496
3067,AW-AWETI KAYAMURÃ-0003,005497,5497,88,413,610,,,,,, , , , , , , , ,,,,,,,,5497
3068,BA-BAKAIRI-0001,005498,5498,48,413,699,,,,,, , , , , , , , ,,,,,,,,5498
3069,BA-BAKAIRI-0002,005499,5499,94,413,699,,,,,, , , , , , , , ,,,,,,,,5499
3070,BA-BAKAIRI-0003,005500,5500,94,172,413,699,,,,, , , , , , , , ,,,,,,,,5500
3071,BA-BAKAIRI-0004,005501,5501,62,172,413,699,,,,, , , , , , , , ,,,,,,,,5501
3072,BA-BAKAIRI-0005,005502,5502,119,413,699,,,,,, , , , , , , , ,,,,,,,,5502
3073,BA-BAKAIRI-0006,005503,5503,119,413,699,,,,,, , , , , , , , ,,,,,,,,5503
3074,BO-BORORO-0001,005850,5850,242,413,471,,,,,, , , , , , , , ,,,,,,,,5850
3075,BO-BORORO-0002,005851,5851,242,413,471,,,,,, , , , , , , , ,,,,,,,,5851
3076,BO-BORORO-0003,005852,5852,242,413,471,,,,,, , , , , , , , ,,,,,,,,5852
3077,BO-BORORO-0004,005853,5853,242,413,471,,,,,, , , , , , , , ,,,,,,,,5853
3078,BO-BORORO-0005,005854,5854,101,413,471,,,,,, , , , , , , , ,,,,,,,,5854
3079,BO-BORORO-0006,005855,5855,61,413,471,,,,,, , , , , , , , ,,,,,,,,5855
3080,BO-BORORO-0007,005856,5856,61,413,471,,,,,, , , , , , , , ,,,,,,,,5856
3081,BO-BORORO-0008,005857,5857,61,413,471,,,,,, , , , , , , , ,,,,,,,,5857
3082,BO-BORORO-0009,005858,5858,61,413,471,,,,,, , , , , , , , ,,,,,,,,5858
3083,BO-BORORO-0010,005859,5859,94,413,471,,,,,, , , , , , , , ,,,,,,,,5859
3084,BO-BORORO-0011,005860,5860,94,413,471,,,,,, , , , , , , , ,,,,,,,,5860
3085,BO-BORORO-0012,005861,5861,58,413,471,,,,,, , , , , , , , ,,,,,,,,5861
3086,BO-BORORO-0013,005862,5862,58,413,471,,,,,, , , , , , , , ,,,,,,,,5862
3087,BO-BORORO-0014,005863,5863,11,58,413,471,,,,, , , , , , , , ,,,,,,,,5863
3088,BO-BORORO-0015,005864,5864,232,413,471,,,,,, , , , , , , , ,,,,,,,,5864
3089,BO-BORORO-0016,005865,5865,232,413,471,,,,,, , , , , , , , ,,,,,,,,5865
3090,BO-BORORO-0017,005866,5866,58,413,471,,,,,, , , , , , , , ,,,,,,,,5866
3091,BO-BORORO-0018,005867,5867,58,413,471,,,,,, , , , , , , , ,,,,,,,,5867
3092,BO-BORORO-0019,005868,5868,58,413,471,,,,,, , , , , , , , ,,,,,,,,5868
3093,BO-BORORO-0020,005869,5869,58,413,471,,,,,, , , , , , , , ,,,,,,,,5869
3094,BO-BORORO-0021,005870,5870,172,413,471,,,,,,232,,,, , , , ,,,,,,,,5870
3095,BO-BORORO-0022,005871,5871,58,413,471,,,,,, , , , , , , , ,,,,,,,,5871
3096,BO-BORORO-0023,005872,5872,119,232,413,471,,,,, , , , , , , , ,,,,,,,,5872
3097,BO-BORORO-0024,005873,5873,18,62,413,471,,,,, , , , , , , , ,,,,,,,,5873
3098,BO-BORORO-0025,005874,5874,58,232,413,471,,,,, , , , , , , , ,,,,,,,,5874
3099,BO-BORORO-0026,005875,5875,232,413,471,,,,,, , , , , , , , ,,,,,,,,5875
3100,BO-BORORO-0027,005876,5876,232,413,471,,,,,, , , , , , , , ,,,,,,,,5876
3101,BO-BORORO-0028,005877,5877,232,413,471,,,,,, , , , , , , , ,,,,,,,,5877
3102,BO-BORORO-0029,005878,5878,232,413,471,,,,,, , , , , , , , ,,,,,,,,5878
3103,BO-BORORO-0030,005879,5879,232,413,471,,,,,, , , , , , , , ,,,,,,,,5879
3104,BO-BORORO-0031,005880,5880,413,471,,,,,,,114,,,, , , , ,,,,,,,,5880
3105,BO-BORORO-0032,005881,5881,282,413,471,,,,,, , , , , , , , ,,,,,,,,5881
3106,BO-BORORO-0033,005882,5882,94,413,471,730,,,,, , , , , , , , ,,,,,,,,5882
3107,BO-BORORO-0034,005883,5883,101,232,413,471,,,,, , , , , , , , ,,,,,,,,5883
3108,BO-BORORO-0035,005884,5884,232,243,413,471,,,,, , , , , , , , ,,,,,,,,5884
3109,BO-BORORO-0036,005885,5885,101,232,243,413,471,,,, , , , , , , , ,,,,,,,,5885
3110,BO-BORORO-0037,005886,5886,18,413,471,,,,,, , , , , , , , ,,,,,,,,5886
3111,BO-BORORO-0038,005887,5887,119,413,471,,,,,, , , , , , , , ,,,,,,,,5887
3112,BO-BORORO-0039,005888,5888,18,413,471,,,,,, , , , , , , , ,,,,,,,,5888
3113,BO-BORORO-0040,005889,5889,18,413,471,730,,,,, , , , , , , , ,,,,,,,,5889
3114,BO-BORORO-0041,005890,5890,413,471,730,,,,,, , , , , , , , ,,,,,,,,5890
3115,BO-BORORO-0042,005891,5891,172,413,471,,,,,, , , , , , , , ,,,,,,,,5891
3116,BO-BORORO-0043,005892,5892,232,412,471,,,,,, , , , , , , , ,,,,,,,,5892
3117,BO-BORORO-0044,005893,5893,232,263,413,471,,,,, , , , , , , , ,,,,,,,,5893
3118,BO-BORORO-0045,005894,5894,232,413,,,,,,, , , , , , , , ,,,,,,,,5894
3119,BO-BORORO-0046,005895,5895,232,413,,,,,,, , , , , , , , ,,,,,,,,5895
3120,BO-BORORO-0047,005896,5896,151,280,,,,,,,413,,,, , , , ,,,,,,,,5896
3121,BO-BORORO-0048,005897,5897,232,413,,,,,,, , , , , , , , ,,,,,,,,5897
3122,BO-BORORO-0049,005898,5898,35,413,471,,,,,, , , , , , , , ,,,,,,,,5898
3123,BO-BORORO-0050,005899,5899,172,413,471,,,,,, , , , , , , , ,,,,,,,,5899
3124,BO-BORORO-0051,005900,5900,58,172,413,471,,,,, , , , , , , , ,,,,,,,,5900
3125,BO-BORORO-0052,005901,5901,34,283,413,471,,,,, , , , , , , , ,,,,,,,,5901
3126,BO-BORORO-0053,005902,5902,58,413,471,,,,,, , , , , , , , ,,,,,,,,5902
3127,BO-BORORO-0054,005903,5903,31,413,471,,,,,, , , , , , , , ,,,,,,,,5903
3128,BO-BORORO-0055,005904,5904,126,242,413,471,,,,, , , , , , , , ,,,,,,,,5904
3129,BO-BORORO-0056,005905,5905,8,413,471,,,,,, , , , , , , , ,,,,,,,,5905
3130,BO-BORORO-0057,005906,5906,62,172,413,471,,,,, , , , , , , , ,,,,,,,,5906
3131,BO-BORORO-0058,005907,5907,19,413,471,,,,,, , , , , , , , ,,,,,,,,5907
3132,BO-BORORO-0059,005908,5908,196,413,471,,,,,, , , , , , , , ,,,,,,,,5908
3133,BO-BORORO-0060,005909,5909,172,413,471,,,,,, , , , , , , , ,,,,,,,,5909
3134,BO-BORORO-0061,005910,5910,62,119,413,471,,,,, , , , , , , , ,,,,,,,,5910
3135,BO-BORORO-0062,005911,5911,114,413,471,,,,,, , , , , , , , ,,,,,,,,5911
3136,BO-BORORO-0063,005912,5912,114,413,471,,,,,, , , , , , , , ,,,,,,,,5912
3137,BO-BORORO-0064,005913,5913,114,413,471,,,,,, , , , , , , , ,,,,,,,,5913
3138,BO-BORORO-0065,005914,5914,25,413,471,,,,,, , , , , , , , ,,,,,,,,5914
3139,BO-BORORO-0066,005915,5915,114,413,471,,,,,, , , , , , , , ,,,,,,,,5915
3140,BO-BORORO-0067,005916,5916,25,114,413,471,,,,, , , , , , , , ,,,,,,,,5916
3141,BO-BORORO-0068,005917,5917,114,413,471,,,,,, , , , , , , , ,,,,,,,,5917
3142,BO-BORORO-0069,005918,5918,25,114,413,471,,,,, , , , , , , , ,,,,,,,,5918
3143,BO-BORORO-0070,005919,5919,25,114,413,471,,,,, , , , , , , , ,,,,,,,,5919
3144,BO-BORORO-0071,005920,5920,25,114,413,471,,,,, , , , , , , , ,,,,,,,,5920
3145,BO-BORORO-0072,005921,5921,25,114,413,471,,,,, , , , , , , , ,,,,,,,,5921
3146,BO-BORORO-0073,005922,5922,114,413,471,,,,,, , , , , , , , ,,,,,,,,5922
3147,BO-BORORO-0074,005923,5923,114,413,471,,,,,, , , , , , , , ,,,,,,,,5923
3148,BO-BORORO-0075,005924,5924,172,413,471,,,,,, , , , , , , , ,,,,,,,,5924
3149,BO-BORORO-0076,005925,5925,413,471,,,,,,,238,,,, , , , ,,,,,,,,5925
3150,BO-BORORO-0077,005926,5926,242,413,471,,,,,, , , , , , , , ,,,,,,,,5926
3151,BO-BORORO-0078,005927,5927,20,413,471,,,,,, , , , , , , , ,,,,,,,,5927
3152,BO-BORORO-0079,005928,5928,18,126,413,471,730,,,, , , , , , , , ,,,,,,,,5928
3153,BO-BORORO-0080,005929,5929,18,126,413,471,,,,, , , , , , , , ,,,,,,,,5929
3154,BO-BORORO-0081,005930,5930,413,471,730,,,,,, , , , , , , , ,,,,,,,,5930
3155,BO-BORORO-0082,005931,5931,148,413,471,,,,,, , , , , , , , ,,,,,,,,5931
3156,BO-BORORO-0083,005932,5932,126,242,413,471,,,,, , , , , , , , ,,,,,,,,5932
