"nid","title","SGA.ACERVO.IMAGEM","SGA.ACERVO.IMAGEM.1","descritores","descritores.1","descritores.2","descritores.3","descritores.4","descritores.5","descritores.6","descritores.7","descritores.8","descritores.9","descritores.10","descritores.11","descritores.12","descritores.13","descritores.14","descritores.15","descritores.16","descritores.17","descritores.18","descritores.19","descritores.20","descritores.21","X","X.1"
"3001","AP-APINAYÉ-0001","5504","5504","1345",,,,,,,,"1060","1174",,,"1551","1685",,,,,,,,,,"5504"
"3002","AP-APINAYÉ-0002","5505","5505","1345",,,,,,,,"1060","1111","1551",,,,,,,,,,,,,"5505"
"3003","AR-ARAWETÉ-0001","6390","6390","1035","1058","1381","1604",,,,,,,,,,,,,,,,,,,,"6390"
"3004","AR-ARAWETÉ-0002","6391","6391","1035","1058","1381","1604",,,,,,,,,,,,,,,,,,,,"6391"
"3005","AR-ARAWETÉ-0003","6392","6392","1105","1165","1381","1604",,,,,,,,,,,,,,,,,,,,"6392"
"3006","AR-ARAWETÉ-0004","6393","6393","1018","1254","1381","1604",,,,,,,,,,,,,,,,,,,,"6393"
"3007","AS-ASURINI XINGU-0001","6394","6394","1165","1187","1381","1694",,,,,,,,,,,,,,,,,,,,"6394"
"3008","AS-ASURINI XINGU-0002","6395","6395","1165","1187","1381","1694",,,,,,,,,,,,,,,,,,,,"6395"
"3009","AS-ASURINI XINGU-0003","6396","6396","1165","1187","1381","1694",,,,,,,,,,,,,,,,,,,,"6396"
"3010","AS-ASURINI XINGU-0004","6397","6397","1033","1165","1187","1381","1694",,,,,,,,,,,,,,,,,,,"6397"
"3011","AS-ASURINI XINGU-0005","6398","6398","1187",,,,,,,,"1165",,,,"1381","1694",,,,,,,,,,"6398"
"3012","AS-ASURINI XINGU-0006","6399","6399","1381",,,,,,,,"1035","1269","1694",,,,,,,,,,,,,"6399"
"3013","AS-ASURINI XINGU-0007","6400","6400","1381",,,,,,,,"1035","1057","1694",,,,,,,,,,,,,"6400"
"3014","AS-ASURINI XINGU-0008","6401","6401","1381",,,,,,,,"1035","1058","1694",,,,,,,,,,,,,"6401"
"3015","AS-ASURINI XINGU-0009","6402","6402","1269","1381","1694",,,,,,,,,,,,,,,,,,,,,"6402"
"3016","AS-ASURINI XINGU-0010","6403","6403","1381",,,,,,,,"1035","1694",,,,,,,,,,,,,,"6403"
"3017","AS-ASURINI XINGU-0011","6404","6404","1070","1187","1272","1381","1694",,,,,,,,,,,,,,,,,,,"6404"
"3018","AS-ASURINI XINGU-0012","6405","6405","1057","1230","1381","1694",,,,,,,,,,,,,,,,,,,,"6405"
"3019","AS-ASURINI XINGU-0013","6406","6406","1272",,,,,,,,"1187","1230","1381","1685",,,,,,,,,,,,"6406"
"3020","AS-ASURINI XINGU-0014","6407","6407","1230","1272","1381","1694",,,,,,,,,,,,,,,,,,,,"6407"
"3021","AS-ASURINI XINGU-0015","7337","7337","1165","1187","1381","1694",,,,,,,,,,,,,,,,,,,,"7337"
"3022","AS-ASURINI XINGU-0016","7338","7338","1057","1230","1381","1694",,,,,,,,,,,,,,,,,,,,"7338"
"3023","AS-ASURINI XINGU-0017","6418","6418","1106","1272","1381","1694",,,,,,,,,,,,,,,,,,,,"6418"
"3024","AS-ASURINI XINGU-0018","7339","7339","1269","1336","1381","1694",,,,,,,,,,,,,,,,,,,,"7339"
"3025","AS-ASURINI XINGU-0019","7340","7340","1269","1336","1381","1694",,,,,,,,,,,,,,,,,,,,"7340"
"3026","AS-ASURINI XINGU-0020","6410","6410","1269","1336","1381","1694",,,,,,,,,,,,,,,,,,,,"6410"
"3027","AS-ASURINI XINGU-0021","6414","6414","1033","1269","1381","1694",,,,,,,,,,,,,,,,,,,,"6414"
"3028","AS-ASURINI XINGU-0022","6415","6415","1033","1269","1381","1694",,,,,,,,,,,,,,,,,,,,"6415"
"3029","AS-ASURINI XINGU-0023","6416","6416","1033","1269","1381","1694",,,,,,,,,,,,,,,,,,,,"6416"
