"nid","title","SGA_ACERVO_VIDEO","Descritor","Descritor.1","Descritor.2","Descritor.3","Descritor.4","Descritor.5","Descritor.6","Descritor.7","Descritor.8","Descritor.9","Descritor.10","Descritor.11","Descritor.12","Descritor.13","Descritor.14","Descritor.15","Descritor.16","Descritor.17","Descritor.18","Descritor.19","Descritor.20","Descritor.21","Descritor.22"
"300","ANTROPOLOGIA FÍSICA COMO CIÊNCIA SOCIAL","816","1007","1023","1033","1181","1449","1450","1667",,,,,,,,,,,,,,,,
"301","FESTA DA MOÇA, A","817","1116","1165","1198","1232","1378","1451","1667",,,,,,,,,,,,,,,,
"302","PÊMP","818","1044","1091","1116","1136","1194","1197","1198","1232","1244","1381","1434","1667",,,,,,,,,,,
"303","WAI'A O SEGREDO DOS HOMENS","819","1155","1232","1378","1425",,,,,,,,,,,,,,,,,,,
"304","XINGU","820","1044","1074","1092","1097","1116","1155","1193","1452","1453","1454","1455","1456","1457","1459",,,,,,,,,
"305","ASPECTOS DO ALTO XINGU","821","1009","1187","1230","1257","1378","1452","1458",,,,,,,,,,,,,,,,
"306","KAA'ETE, OS WAIÃPI POVO DA FLORESTA","822","1043","1091","1094","1134","1137","1193","1198","1203","1285","1293","1447",,,,,,,,,,,,
"307","ANGOLA","823","1052","1109","1117","1154","1218","1276","1460","1465","1466",,,,,,,,,,,,,,
"308","CONGADA","824","1065","1070","1116","1178","1220","1380","1461",,,,,,,,,,,,,,,,
"309","TRAVESSIA, A","825","1092","1094","1133","1144","1178","1276","1462","1467",,,,,,,,,,,,,,,
"310","ARTE É HUMANISMO","852","1025","1029","1055","1066","1155","1370","1463","1504",,,,,,,,,,,,,,,
"311","SOMOS FILHOS DOS ORIXÁS","851","1065","1116","1178","1218","1353","1393","1442","1667",,,,,,,,,,,,,,,
"312","WAYANA-APALAI","828","1092","1093","1137","1198","1222","1285","1381","1471","1472","1667",,,,,,,,,,,,,
"313","OBJETO: UMA DESCOBERTA, O","827","1029","1068","1069","1079","1169","1667",,,,,,,,,,,,,,,,,
"314","AMAZONAS, UM NEGÓCIO DESTE MUNDO","829","1092","1193","1222","1298","1477","1478","1479","1480","1667",,,,,,,,,,,,,,
"315","CHICO MENDES, A VOZ DA AMAZÔNIA","832","1134","1139","1144","1159","1183","1204","1249","1271","321",,,,,,,,,,,,,,
"316","FINANCIANDO O DESASTRE","830","1092","1134","1139","1164","1183","1193","1194","1204","1244","1285","321","1432","1437","1667",,,,,,,,,
"317","REBELDE BOLA CUBANA, UMA (3º PROGRAMA)","1011","1086","1176","1542","1544",,,,,,,,,,,,,,,,,,,
"318","METUIA","835","1060","1402","1667",,,,,,,,,,,,,,,,,,,,
"319","DESCOBRINDO O BRASIL","837","1057","1285","1381","1431","1667",,,,,,,,,,,,,,,,,,
"320","CERÂMICA POPIPECHA MEXICANA","838","1033","1165","1268","1486","1488","1666",,,,,,,,,,,,,,,,,
"321","HISTÓRIAS DO COTIDIANO","839","1038","1076","1176","1186","1203","1279","1369","1667",,,,,,,,,,,,,,,
"322","ARANHA VIVE DO QUE TECE, A","1525",,,,,,,,,,,,,,,,,,,,,,,
"323","CANTO DA TERRA, O","842","1044","1045","1046","1159","1194","1195","1196","1253","1263","1271","1383","1388","1667",,,,,,,,,,
"324","BOE ERO, VIDA BORORO","1371","1222","1227","1230","1378","1433","1667",,,,,,,,,,,,,,,,,
"325","BOE ERO, VIDA BORORO","843","1222","1227","1230","1378","1433","1667",,,,,,,,,,,,,,,,,
"326","INDEPENDÊNCIA","845","1025","1117","1170","1203","1279","1336","1367","1667",,,,,,,,,,,,,,,
"327","NOVOS RUMOS: O PÓS-GUERRA","849","1036","1153","1259","1279","1546","1563","1667",,,,,,,,,,,,,,,,
"328","O QUE É A NATUREZA E RECURSOS NATURAIS?","853","1133","1144","1393","1667",,,,,,,,,,,,,,,,,,,
"329","CINZAS DA FLORESTA (3º EPISÓDIO)","854","1044","1078","1134","1138","1139","1194","1203","1285","1389","1667",,,,,,,,,,,,,
"330","EM BUSCA DOS SEQUESTRADORES (1º EPISÓDIO )","857","1046","1091","1137","1139","1194","1198","1271","1285","1389","1427","1432","1667",,,,,,,,,,,
