"tid","SGA_DESCRITOR","Codi_Descritor","name","corrigido","parent"
"200","1","1","ALIMENTAÇÃO","1",""
"201","2","001.1","ALIMENTOS","1.1","200"
"202","3","001.2","BEBIDAS","1.2","200"
"203","4","2","AMOR","2",""
"204","5","3","ANIMAL","3",""
"205","6","4","ANTROPOLOGIA","4",""
"206","7","004.1","ANTROPOLOGIA FÍSICA","4.1","205"
"207","8","001.3","PREPARAÇÃO DO ALIMENTO","1.3","200"
"208","9","001.4","PROCESSAMENTO DA MANDIOCA","1.4","200"
"209","10","001.5","REFEIÇÃO","1.5","200"
"210","11","003.1","ANIMAL DOMÉSTICO","3.1","204"
"211","12","003.1.1","CACHORRO","3.1.1","210"
"212","13","003.1.2","GALINHA","3.1.2","210"
"213","14","003.1.3","PATO","3.1.3","210"
"214","15","003.2","ANIMAL SILVESTRE","3.2","204"
"215","16","003.2.1","ANTA","3.2.1","214"
"216","17","003.2.2","ARARA","3.2.2","214"
"217","18","5","ARMAS","5",""
"218","19","005.1","CONFECÇÃO DE ARMAS","5.1","217"
"219","20","005.2","UTILIZAÇÃO DE ARMAS","5.2","217"
"220","21","6","ARQUEOLOGIA","6",""
"221","22","006.1","ARTEFATO ARQUEOLÓGICO","6.1","220"
"222","23","006.2","ESCAVAÇÃO ARQUEOLÓGICA","6.2","220"
"223","24","006.3","PINTURA RUPESTRE","6.3","220"
"224","25","7","ARQUITETURA","7",""
"225","26","008.1","ARTES PLÁSTICAS","8.1","709"
"226","27","008.1.1","CHARGE","8.1.1","225"
"227","28","008.1.2","DESENHO","8.1.2","225"
"228","29","008.1.3","ESCULTURA","8.1.3","225"
"229","30","008.1.4","GRAVURA","8.1.4","225"
"230","31","9","ARTESANATO","9",""
"231","32","009.1","ARTESANATO EM MADEIRA","9.1","230"
"232","33","009.2","CERÂMICA","9.2","230"
"233","34","009.3","CESTARIA","9.3","230"
"234","35","009.4","TECELAGEM","9.4","230"
"235","36","10","AUDIOVISUAL - CINEMA - VÍDEO","10",""
"236","37","010.1","DOCUMENTÁRIO","10.1","235"
"237","38","010.2","FICÇÃO","10.2","235"
"238","39","010.3","ANIMAÇÃO","10.3","235"
"239","40","010.4","VÍDEO CLIP","10.4","235"
"240","41","010.5","VÍDEO ARTE","10.5","235"
"241","43","11","CAMPO - TERRA","11",""
"242","44","011.1","DEMARCAÇÃO DE TERRITÓRIO","11.1","241"
"243","45","011.2","LUTA PELA TERRA","11.2","241"
"244","46","011.3","MST","11.3","241"
"245","47","011.4","REFORMA AGRÁRIA","11.4","241"
"246","48","12","JOVEM - ADOLESCENTE","12",""
"247","49","13","CAPITALISMO","13",""
"248","50","14","CIDADE","14",""
"249","51","014.1","URBANIZAÇÃO","14.1","248"
"250","52","15","CIGANO","15",""
"251","53","16","COLONIALISMO - NEOCOLONIALIMO","16",""
"252","54","17","COLONIZAÇÃO","17",""
"253","55","18","COMUNISMO - SOCIALISMO - MARXISMO","18",""
"254","56","19","CORPO","19",""
"255","57","20","CORRUPÇÃO","20",""
"256","58","21","COTIDIANO","21",""
"257","59","021.1","ATIVIDADES DOMÉSTICAS","21.1","256"
"258","61","021.1.1","ROÇA","21.1.1","257"
"259","62","22","CRIANÇA","22",""
"260","63","022.1","FEBEM","22.1","259"
"261","64","022.2","INFÂNCIA","22.2","259"
"262","65","022.3","MENOR","22.3","259"
"263","66","23","CULINÁRIA - COZINHA","23",""
"264","67","24","CULTURA AFRO-BRASILEIRA","24",""
"265","68","25","CULTURA OCIDENTAL","25",""
"266","69","26","CULTURA ORIENTAL","26",""
"267","70","27","CULTURA MATERIAL","27",""
"268","71","027.1","CERÂMICA MARAJOARA","27.1","267"
"269","72","28","DANÇA","28",""
"270","73","29","DEFICIÊNCIA FÍSICA","29",""
"271","74","30","DEFICIÊNCIA MENTAL","30",""
"272","75","31","DEMOCRACIA","31",""
"273","76","32","DIREITOS HUMANOS","32",""
"274","77","33","COMPORTAMENTO","33",""
"275","78","34","DITADURA","34",""
"276","79","35","ETNIA","35",""
"277","80","36","ECONOMIA","36",""
"278","81","37","EDUCAÇÃO","37",""
"279","82","38","ENERGIA","38",""
"280","83","038.1","ENERGIA HIDRELÉTRICA","38.1","279"
