id_material,IdUsuario,IdSugestao,IdTipodeMaterial,tbTipodeMaterialSubcategoria,numero_capes,idTipodeVerba,Tombo,Tombo Antigo,código de impressão,ordem_relatorio,Processo,Fornecedor,Nota Fiscal,Pasta,tipo de aquisição,Data,DataAqExport,Moeda,Preço,Importado,origem_da_importacao,patrimonio_ativo
10934,8,15929,2,,,,387450,,02-04-14,,,FUND. CALOUSTE GULBENKIAN,,,Retombamento,4/1/2014,,R$,130,Não,AQUISIÇÃO,Sim
10935,8,15930,2,,,,387454,,03-04-14,,,BIBL. DE HISTORIA,,,Retombamento,4/1/2014,,R$,130,Não,AQUISIÇÃO,Sim
10936,8,15931,2,,,,387456,,02-04-14,,,J.P.G. PIMENTA,,,Doação,4/2/2014,,R$,40,Não,AQUISIÇÃO,Sim
10937,8,15932,2,,,,387455,,02-04-14,,,REITORIA-PROF. O.MOTA,,,Retombamento,4/2/2014,,R$,130,Não,AQUISIÇÃO,Sim
10938,8,15933,2,,,,387453,,02-04-14,,,ANONIMO,,,Retombamento,4/2/2014,,R$,40,Não,AQUISIÇÃO,Sim
10939,8,15934,2,,,,387452,,02-04-14,,,CAD. DE GREGO,,,Retombamento,4/2/2014,,R$,130,Não,AQUISIÇÃO,Sim
10940,8,15935,2,,,,387451,,02-04-14,,,CAD. DE GREGO,,,Retombamento,4/2/2014,,R$,130,Não,AQUISIÇÃO,Sim
10941,8,15937,2,,,,387457,326749,04-04-14,,,N. USP 8569792,,,Reposição,4/3/2014,,R$,40,Não,AQUISIÇÃO,Sim
10942,8,15938,2,,,,387458,,04-04-14,,,CELESTE R. DOS SANTOS-DLM-AREA DE ALEMAO,,,Doação,4/3/2014,,"R40,00",,Não,AQUISIÇÃO,Sim
10943,8,15939,2,,,,387459,375497,04-04-14,,,N. USP 6818948,,,Reposição,4/3/2014,,R$,40,Não,AQUISIÇÃO,Sim
10944,12,15941,2,,,,386705,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10945,8,15942,2,,,,387460,,07-04-14,,,EDUARDO H. PIRUZZO,,,Doação,4/4/2014,,R$,40,Não,AQUISIÇÃO,Sim
10946,12,15943,2,,,,386706,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10947,12,15944,2,,,,386707,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10948,12,15945,2,,,,386708,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10949,12,15946,2,,,,386709,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10950,12,15947,8,,,,386710,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10951,12,15948,2,,,,386711,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10952,12,15949,2,,,,386712,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10953,12,15950,2,,,,386713,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10954,12,15951,2,,,,386714,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10955,12,15952,2,,,,386715,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10956,12,15953,2,,,,386716,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10957,12,15954,2,,,,386717,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10958,12,15955,2,,,,386718,,EEHA040414,,,E. E. H. A.,,,Doação,4/4/2014,,R$,130,Não,AQUISIÇÃO,Sim
10959,8,15960,2,,,,387471,,07-04-14,,,FABIO R.DE S. ANDRADE,,,Doação,4/7/2014,,R$,40,Não,AQUISIÇÃO,Sim
10960,8,15961,2,,,,387470,,07-04-14,,,MAYUMI TOYODA,,,Doação,4/7/2014,,R$,40,Não,AQUISIÇÃO,Sim
10961,8,15962,2,,,,387474,,07-04-14,,,JOSE L.DOS S. P. FILHO,,,Doação,4/7/2014,,R$,130,Não,AQUISIÇÃO,Sim
10962,8,15963,2,,,,387461,,07-04-14,,,ADRIANE DA S. DUARTE,,,Doação,4/7/2014,,R$,40,Não,AQUISIÇÃO,Sim
10963,8,15964,2,,,,387373,,07-04-14,,,IRIS KANTOR,,,Doação,4/7/2014,,R$,130,Não,AQUISIÇÃO,Sim
10964,8,15965,2,,,,387467,,07-04-14,,,VALERIA DE MARCO,,,Doação,4/7/2014,,R$,130,Não,AQUISIÇÃO,Sim
10965,8,15966,2,,,,387468,,07-04-14,,,VALERIA VAZ,,,Doação,4/7/2014,,R$,40,Não,AQUISIÇÃO,Sim
10966,8,15967,2,,,,387437,,07-04-14,,,DCP,,,Doação,4/7/2014,,R$,130,Não,AQUISIÇÃO,Sim
10967,8,15968,2,,,,387439,,07-04-14,,,SANDRA VASCONCELOS,,,Doação,4/7/2014,,R$,130,Não,AQUISIÇÃO,Sim
10968,8,15969,2,,,,387472,,07-04-14,,,ALLAN S. DA ROSA,,,Doação,4/8/2014,,R$,40,Não,AQUISIÇÃO,Sim
10969,8,15970,2,,,,387436,,07-04-14,,,MARCIA R. DE B. SILVA,,,Doação,4/8/2014,,R$,40,Não,AQUISIÇÃO,Sim
10970,8,15971,2,,,,387433,,07-04-14,,,ANTONIO C.B. NOVA,,,Doação,4/8/2014,,R$,40,Não,AQUISIÇÃO,Sim
10971,8,15972,2,,,,387469,,07-04-14,,,VALERIA VAZ,,,Doação,4/8/2014,,R$,40,Não,AQUISIÇÃO,Sim
10972,8,15973,2,,,,387438,,07-04-14,,,DCP-FFLCH/USP,,,Doação,4/8/2014,,R$,40,Não,AQUISIÇÃO,Sim
10973,8,15974,2,,,,387603,,07-04-14,,,ANONIMO,,,Doação,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10974,8,15975,2,,,,387602,,07-04-14,,,EDUSP,,,Doação,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
10975,8,15976,2,,,,387601,,07-04-14,,,MIRTA GROPPI,,,Doação,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
10976,8,15977,2,,,,387498,,07-04-14,,,VALTER KEHDI,,,Doação,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10977,8,15978,2,,,,387499,,07-04-14,,,VALTER KEHDI,,,Doação,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
10978,8,15979,2,,,,387600,,07-04-14,,,FUND. ENERGIA E SANEAMENTO,,,Doação,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
10979,8,15980,2,,,,387519,H4210,07-04-14,,,DRAGONE,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10980,8,15981,2,,,,387516,,07-04-14,,,COLECAO G. MUSOLINI,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10981,8,15982,2,,,,387564,35217,07-04-14,,,BCA DE LETRAS-CAD. DE GREGO,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10982,8,15983,2,,,,387604,,08-04-14,,,CAD. DE LINGUA E LIT. ALEMA,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10983,8,15984,2,,,,387493,,07-04-14,,,LIVR. UNIVERSITARIA,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10984,8,15985,2,,,,387492,,07-04-14,,,LIVR. ED. F. PESSOA,,,Retombamento,4/9/2014,,R$,130,Não,AQUISIÇÃO,Sim
10985,8,15986,2,,,,387497,,07-04-14,,,CAD. DE L. LIT. ALEMA,,,Retombamento,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
10986,8,15987,2,,,,387496,,07-04-14,,,CAD. DE L. LIT. ALEMA,,,Retombamento,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
10987,8,15988,2,,,,387495,,07-04-14,,,CAD. DE L. LIT. ALEMA,,,Retombamento,4/9/2014,,R$,40,Não,AQUISIÇÃO,Sim
