Fundo,Notação,Documento,Abordagem,Local de produção,Data de produção,Técnica,Suporte,Formato,Cromia,Idioma,N. Itens,N. exemplares,Extensão,Responsável (1),Tipo de responsabilidade (1),Responsável (2),Tipo de responsabilidade (2),Responsáveis (3),Tipo de responsabilidade (3),Atividade/evento (1),Especificação (1),Local (1),Data ou período (1),Atividade/evento (2),Especificação (2),Local (2),Data  ou período (2),Descritores,Descritores,Descritores,Descritores,Referência,Observações
SBP,1.1.1,Certificado,Unitária,Buenos Aires (Argentina),25/10/1977,"Impressão, Manuscritura",Papel,Folha,,Espanhol,1,1,1f,Juan Pablo Bozzini,Signatário,Pedro Garaguso,Signatário,,,Homenagem póstuma,Membro de honra da Federación Latinoamericana de Parasitologos,Buenos Aires (Argentina),25/10/1977,,,,,Federación Latinoamericana de Parasitologos,,,,,
SBP,1.1.2,Certificado,Unitária,Cidade do México (México),5/10/1967,"Impressão, Manuscritura",Papel,Folha,,Espanhol,1,1,1f,Francisco Biagi F. ,Signatário,,,,,Homenagem,Membro honorário da Federación Lationoamericana de Parastologos,Cidade do México (México),5/10/1967,,,,,Federación Latinoamericana de Parasitologos,,,,,
SBP,1.1.3,Convite,Unitária,Cidade do México (México),7/5/1970,Datilografia,Papel,Folha,,Espanhol,1,1,1f,Fernando Beltran H.,Signatário,Manuel Gutiérrez Q. ,Signatário,Sociedad Mexicana de Parasitologia,Remetente,Congresso,Congresso Latinoamericano de Parasitologia (2),Cidade do México (México),18/9/1970,,,,,Sociedad Mexicana de Parasitologia,,,,,
SBP,1.1.4,Carta de declinação de convite,Unitária,São Paulo (SP),14/6/1970,Manuscritura,Papel,Folha,,Português,2,1,2f,Fernando Beltran H.,Destinatário,Manuel Gutiérrez Q. ,Destinatário,,,Congresso,Congresso Latinoamericano de Parasitologia (2),Cidade do México (México),18/9/1970,,,,,Sociedad Mexicana de Parasitologia,,,,,
SBP,1.1.5,Discurso,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,2f,Alberto Serravalle,Autor,,,,,Homenagem,Inauguração da Biblioteca Samuel Pessoa,s.l.,s.d.,,,,,,,,,,
SBP,1.1.6,Convite,Unitária,Rio de Janeiro (RJ),8/1/1975,Datilografia,Papel,Folha,,Português,1,1,1f,José Rodrigues Coura,Signatário,Sociedade Brasileira de Medicina Tropical,Remetente,,,Homenagem,Homenageado como patrono do Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975-28/02/1975,Congresso,Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975-28/02/1975,,,,,,
SBP,1.1.7,Carta de agradecimento,Unitária,São Paulo (SP),24/1/1975,Datilografia,Papel,Folha,,Português,1,1,1f,José Rodrigues Coura,Destinatário,Sociedade Brasileira de Medicina Tropical,Destinatário,,,Homenagem,Homenageado como patrono do Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975-28/02/1975,Congresso,Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975-28/02/1975,,,,,,
SBP,1.1.8,Lista de endereços,Unitária,Porto Alegre (RS),22/6/1973,Datilografia,Papel,Folha,,Português,1,1,1f,,,,,,,Relacionamento profissional,,jun/73,,,,,,Universidade Federal do Rio Grande do Sul - Faculdade de Veterinária,,,,,
SBP,1.1.9,Carta de agradecimento,Unitária,Rio de Janeiro (RJ),12/4/1952,Manuscritura,Papel,Folha,,Português,1,1,1f,Paulo Geraldo de Castro Delgado,Remetente,Samuel Barnsley Pessoa,Destinatário,,,Relacionamento Social,Paulo Geraldo de Castro Delgado,,,,,,,,,,,,
SBP,1.2.1,Decreto de afastamento,Unitária,São Paulo (SP),9/5/1949,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Adhemar de Barros,Autor,Lineu Prestes,Autor,,,Docência,Cadeira de Parasitologia - Faculdade de Medicina da Universidade de São Paulo ,São Paulo (SP),1931-1956,Docência,Curso de pesquisadores do Instituto de Saúde Pública da Secretaria de Educação e Saúde do Estado da Bahia,Salvador (BA),1949,,,,,,
