especificação,nreferencia,numero,região,local,titulo,data,rolonum,Bobina,suporte,País,Sistema,Ano de Entrada,Origem,Nota,Acervo disponível,Acervo indisponível
Colleção das Leis e Actos da Província de Santa Catarina.,392,,Sul,"Santa Catarina, Florianópolis",Colleção das Leis e Actos da Província de Santa Catarina.,1861-1887,1,1,Microfilmes,Brasil,Neg,,,,X,
Instituto do Patrimônio Histórico de São Paulo. 4º Distrito. Documentos sobre o Paraná. Obras públicas de Guaratuba c/ Mortes. Obras Públicas de Paranaguá. Estrada de Ferro Paranaguá-Morretes. Capela de Guaraquessaba.,406,,Sul,Paraná,Instituto do Patrimônio Histórico de São Paulo. 4º Distrito.,1857,1,1,Microfilmes,Brasil,Neg,1968,Paraná,1. Obras públicas de Guarauba e sua comuniquação cm Morretes; 2.Obras públicas de paranaguá; 3. Estrada de Paranaguá à Morrettes; 4. Capella de Guaraquessaba. ,,X
Biblioteca Pública de Porto Alegre. Relação de obras sobre o Rio Grande do Sul: Fichário. Obras Raras: Catálogo. Relação de documentos sobre o Rio Grande do Sul existentes na Seção Histórica do Arquivo do Estado de São Paulo. Museu Júlio de Castilhos: Arquivo Etnográfico - fichário.,554,,Sul,"Rio Grande do Sul, Porto Alegre",Biblioteca Pública de Porto Alegre. Museu Júlio de Castilhos.,até 1967,1,1,Microfilmes,Brasil,Neg,1967,Porto Alegre,Microfilme de 16 mm negativo. É o fichário de autores em ordem alfabética existente até setembro de 1967.,X,
Museu Júlio de Castilhos. Arquivo Etnográfico - fichário.,555,,Sul,"Rio Grande do Sul, Porto Alegre",Museu Júlio de Castilhos.,até 1967,1,2,Microfilmes,Brasil,Neg,1967,Porto Alegre,"Contém as fichas do material etnogr[afico existente no Museu até a data, dividido em: arquitetura, cristais e vidros, documentos, escultura estatutária, instrumentos musicais, máquinas, mobiliário, missões, cvários e viaturas. Etnografia: arcos, apitos, adorno, adorno de penas, adornor de penas-cocares, arpão de pesca, boleadeira. boleadeira charrua, boleadeira mirim, bolsa de ponta, bolsa de ponta estrelada, bolsa, cachimvo, cesta, chocalho, colar, cordão de fibras, cunha de pedra, estera de pedra, estatueta, facas, rafas e frascos, igaçabas, itaiças, lanças, machados de pedra lascada, diversos, machados de pedra polida, machados tabulares, machados de seixos adaptados, machados de pedra sulcada, mão de gral, maracá, martelo de remos, tacapes, topus.",X,
Participação Social do Negro - Imprensa: A raça.,553,553,Sul,"Minas Gerais, Uberlândia",Participação social do negro - Imprensa.,1920-1950,1,1,Microfilmes,Brasil,Neg,1972,São Paulo,Imprensa negra do Estado de São Paulo. Jornais do meio negro no estado de São Paulo. Tese do professor amerciano Michal Mitchell. Material coletado pelo referido professor entre elementos da comunidade negra.,X,
Biblioteca Pública de Porto Alegre. Relação de obras sobre o Rio Grande do Sul: Fichário. Obras Raras: Catálogo. Relação de documentos sobre o Rio Grande do Sul existentes na Seção Histórica do Arquivo do Estado de São Paulo. Museu Júlio de Castilhos: Arquivo Etnográfico - fichário.,554,,Sul,"Rio Grande do Sul, Porto Alegre",Biblioteca Pública de Porto Alegre. Museu Júlio de Castilhos.,1967,1,1,Microfilmes,Brasil,Neg,1967,Porto Alegre,Microfilme de 16 mm negativo. ,X,
Museu Júlio de Castilhos. Arquivo Etnográfico - fichário.,555,,Sul,"Rio Grande do Sul, Porto Alegre",Museu Júlio de Castilhos.,,1,2,Microfilmes,Brasil,Neg,1967,Porto Alegre,Microfilme de 16 mm negativo. Material levado à Porto Alegre para exposição no Ivº Simpósio da AÙH - 1967.,X,
Biblioteca Pública Municipal Mário de Andrade - SP. Collecção da Leis e das Decisões do Império do Brasil.,392,392,Sul,Santa Catarina,Biblioteca Pública Municipal Mário de Andrade (SP).,1861-1868,1,1,Microfilmes,Brasil,Neg,1977,Santa Catarina,"Volume cedido por Maria Salete K¬oenig Beppler. No cartão indicativo está 1968 ao invés de 1868. No ano de 1867, fatalm as páginas 89 a 96, do livro.",X,
Biblioteca Pública Municipal Mário de Andrade - SP. Collecção da Leis e das Decisões do Império do Brasil.,392,392,Sul,Santa Catarina,Biblioteca Pública Municipal Mário de Andrade (SP).,1867-1870,1,1,Microfilmes,Brasil,Neg,1977,Florianópolis,Volume cedido por Maria Salete K¬oenig Beppler. ,X,
Biblioteca Pública Municipal Mário de Andrade - SP. Collecção da Leis e das Decisões do Império do Brasil.,392,392,Sul,Santa Catarina,Biblioteca Pública Municipal Mário de Andrade (SP).,1884-1887,1,1,Microfilmes,Brasil,Neg,1977,Florianópolis,Volume cedido por Maria Salete K¬oenig Beppler. ,X,
