"nid","title","field_objetivo_|value","field_objetivo_|format"
719,"Inglês para Leitura de Textos II (Antigo Inglês Instrumental II)","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Requisito:</strong> Ter feito Inglês para Leitura de Textos I (Antigo Inglês Instrumental I) em 2011 ou 2012. </span></span></p>
<p class=""rtejustify""> </p>
<p class=""rtejustify""><strong><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">Objetivo<span style=""font-weight: bold;"">:</span></span></span></strong><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-weight: bold;""> </span></span></span><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">Retomar o estudo  das subdivisões de textos acadêmicos em seus diferentes momentos: abstracts, introdução, descrição da metodologia, discussão de dados e conclusão. Buscar informações mais detalhadas em textos acadêmicos e de divulgação. Interpretar a ideia principal e argumentos em textos acadêmicos e científicos. </span></span></p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong> Carga horária: </strong>30 horas</span></span></p>","full_html"
726,"Práticas de leitura em francês I ( antigo Francês Instrumental I )","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo</strong><span style=""font-weight: bold;"">:<strong> </strong></span></span></span><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">Desenvolver a habilidade de leitura em língua francesa, levando o aluno à compreensão de textos de sua área acadêmica e/ou profissional e à seleção de informações de acordo com o objetivo de leitura estabelecido. Adquirir noções gramaticais e lexicais fundamentais da língua francesa.</span></span></p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;"">Observação: Carga horária: 60 horas</span></span></p>","full_html"
715,"Alemão para Leitura de Textos em Filosofia e  Ciências Sociais I","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family: arial, helvetica, sans-serif""><strong>Objetivo</strong><span style=""font-weight: bold"">: </span></span><span style=""font-family: arial, helvetica, sans-serif"">O curso tem como objetivo proporcionar ao estudante conhecimentos estruturais da língua alemã e vocabulário básico para a leitura de textos em alemão das áreas de Filosofia e Ciências Sociais. Para tanto serão apresentadas estruturas e vocábulos através de textos relacionados à área e treinadas estratégias de leitura e de aprendizagem.</span></p>
<p class=""rtejustify""> </p>
<p><span style=""font-family: arial, helvetica, sans-serif""><strong>Carga Horária</strong>: 60 horas.</span></p>","full_html"
732,"Gramática Aplicada ao Ensino de Português Língua Estrangeira- GAPLE","<p class=""rtecenter""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: 16px;""><span style=""color: rgb(255, 0, 0);""><strong>(PARA ESTUDANTES DE GRADUAÇÃO E PÓS-GRADUAÇÃO EM LETRAS,  E BACHARÉIS  E LICENCIADOS EM LETRAS) </strong></span></span></span></p>
<p class=""rtecenter""> </p>
<p class=""rtecenter""><b style=""font-family: arial,helvetica,sans-serif; font-size: 16px;"">Informações sobre o curso</b></p>
<p class=""rtecenter""> </p>
<table align=""center"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 703px; height: 200px;"">
<tbody>
<tr>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255);"">
<div>
					<span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""><span style=""font-family: arial,helvetica,sans-serif;"">C</span></span></strong></span><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);"">arga horária</span></strong></span></span></div>
</td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 178px;"">
				<span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);"">Objetivo</span></strong></span></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 197px;"">
				<span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);"">Conteúdo</span></strong></span></span></td>
<td class=""rtecenter"" style=""background-color: rgb(204, 204, 255); width: 180px;"">
<p><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong><span style=""color: rgb(0, 0, 205);""> Estratégias</span></strong></span></span></p>
</td>
</tr>
<tr>
<td class=""rtecenter"">
				<span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;"">28 horas (2h por semana)</span></span></td>
<td class=""rtecenter"" style=""width: 178px;"">
				<span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><font class=""Apple-style-span"">orientar os participantes na preparação de aula de PLE</font></span></span></td>
<td class=""rtecenter"" style=""width: 197px;"">
<p class=""rtejustify""><span style=""font-size: 14px; font-family: arial, helvetica, sans-serif; "">• terminologia gramatical<br />
					• aspectos fonético-fonológicos<br />
					• aspectos morfossintáticos<br />
					• aspectos lexicais<br />
					• aspectos culturais</span></p>
</td>
<td class=""rtecenter"" style=""width: 180px;"">
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;"">• análise de plano de aula<br />
					   e de material didático<br />
					• explicação gramatical<br />
					   com exemplificação<br />
					• leitura de textos teóricos</span></span></p>
</td>
</tr>
</tbody>
</table>
<p> </p>
<p class=""rtecenter""><strong><span style=""color:#ff0000;""><span style=""font-family:arial,helvetica,sans-serif;"">Observação:</span></span></strong></p>
<p class=""rtecenter""><strong><span style=""color:#0000cd;""><span style=""font-family:arial,helvetica,sans-serif;"">Não haverá vagas para candidatos da comunidade externa.</span></span></strong></p>","full_html"
735,"Inglês Básico II","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo:</strong> </span></span>Desenvolver habilidades escritas e orais em língua inglesa.</p>
<p class=""rtejustify""> </p>","full_html"
742,"Inglês Básico III","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo:</strong> </span></span>Desenvolver habilidades escritas e orais em língua inglesa.</p>
<p class=""rtejustify""> </p>","full_html"
748,"Inglês Básico IV","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong>Objetivo:</strong> </span>Desenvolver habilidades escritas e orais em língua inglesa.</span></p>
<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><strong>Carga horária:</strong> 48 horas.</span></p>
<p class=""rtejustify""> </p>","full_html"
749,"Inglês Pré-Intermediário I","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size:14px;""><span style=""font-family: arial, helvetica, sans-serif;""><strong>Objetivo:</strong> Desenvolver habilidades escritas e orais em língua inglesa.</span></span></p>
<p class=""rtejustify""><span style=""font-size:14px;""><span style=""font-family: arial, helvetica, sans-serif;""><strong>Carga horária</strong>: 48 horas.</span></span></p>","full_html"
750,"Inglês Intermediário I","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><span style=""font-size: 14px;""><strong>Objetivo:</strong> </span>Desenvolver habilidades escritas e orais em língua inglesa.</span></p>
<p class=""rtejustify""><span style=""font-family:arial,helvetica,sans-serif;""><strong>Carga horária:</strong> 48 horas.</span></p>","full_html"
751,"Japonês Básico I","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo:</strong> Este nível introduz a gramática e o vocabulário, necessários para a aquisição de estruturas básicas do Japonês, enfatizando a produção oral.</span></span></p>
<p class=""rtejustify""> </p>","full_html"
752,"Japonês Básico II","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo:</strong> </span></span>Revisar estruturas gramaticais apresentadas no estágio anterior e introduzir novas estruturas gramaticais, desenvolvendo a produção oral por meio de atividades comunicativas; introduzir a escrita logográfica (kanji), a leitura e a elaboração de textos.</p>
<p class=""rtejustify""> </p>","full_html"
753,"Japonês Básico III","<p class=""rtejustify""> </p>
<p class=""rtejustify""><span style=""font-size: 14px;""><span style=""font-family: arial,helvetica,sans-serif;""><strong>Objetivo:</strong> Revisar estruturas gramaticais apresentadas no estágio anterior e introduzir novas estruturas gramaticais, desenvolvendo a produção oral por meio de atividades comunicativas; aprimorar a escrita logográfica (kanji), a leitura e a elaboração de textos.</span></span></p>","full_html"
