"nid","title","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload"
1245,"CURSO DE INGLÊS PARA FUNCIONÁRIOS USP","","","","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/A2-B1 (pré-intermediário) – Módulo 1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA FUNCIONÁRIOS USP_ C1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível C1 (avançado) – Módulo 1     2ª e 4ª 12h-13h30.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A1 (elementar) –  Módulo 1     3ª e 5ª 12h-13h30.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A1 (elementar) –  Módulo 2    2ª e 4ª 17h-18h30  Kelly.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A1-A2 (básico) – Módulo 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA FUNCIONÁRIOS USP-Nível C1 (avançado) – Módulo 1     2ª e 4ª 12h-13h30.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A1-A2 (básico) –  Módulo 1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A2-B1 (pré-intermediário) – Módulo 2   2ª e 4ª 12h-13h30  Flora.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível B1 (intermediário) – Módulo 1     3ª e 5ª17h-18h30  Flora.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível B2 (intermediário) – Módulo 1    3ª e 5ª 12h-13h30- Camila.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,"Espanhol - Funcionários","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LISTA DE ALUNOS APTOS A REALIZAR O CURSO.pdf","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,"Curso de Inglês Geral para Funcionários USP","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Funcionários - vagas remanescentes ATT.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Funcionários - vagas remanescentes.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista - teste nível 1 pdf.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista - teste nível 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista - teste nível 3.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista - teste nível 4.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista - teste nível 5.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de inscritos confirmados Vagas remanescentes.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível A1 (elementar) – Módulo 1 2015 (1).pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula (2).pdf","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula 2014-2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de Incritos - Inglês para Atendimento Telefônico.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula 2014-2_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista -Inglês para Atendimento telefônico.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível B1 (intermediário) – Módulo 1 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível B1 (intermediário) – Módulo 2 2015-1.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de inscritos confirmados 4o período 2015-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de inscritos confirmados 3o período 2015-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível A1 (elementar) – Módulo 2 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível A1-A2 (básico) – Módulo 1 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível A1-A2 (básico) – Módulo 2 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível B1 (intermediário) – Módulo 1 2015_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Programa de curso - Inglês para funcionários Nível B1 (intermediário) – Módulo 2 2015-1_0.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de inscritos confirmados 1o período 2015-1.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de inscritos confirmados 2o período 2015-1.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de matriculados - 1o período.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula_0.pdf","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Orientações sobre material didático.pdf",,,,,,,,,,,,,,,,,,,,,,
1525,"Notas do 1º semestre de 2014","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura_nível 1_9_11 horas_Ana Sílvia.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura_nível 1_12_14horas_Ana Silvia.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para leitura_nível 2_Ana Silvia_1_2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas Inglês para Leitura Angela N1 12h 1sem2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas Inglês para Leitura de Textos Angela N1 14h 1sem2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas Inglês para Leitura de Textos Angela N2 9h 1sem2014.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS 2014-1 Notas e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2014-1 Notas e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência_Inglês para Graduandos I (Profa. Elaine).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência_Inglês para Graduandos II (Profa. Elaine).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Graduandos – Nível III.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Graduandos – Nível IV.pdf","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Leitura em Espanhol 2ª e 4ª 16h-18h (Profa. Clarissa).pdf","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nota e frequência - CPLE - 1o semestre 2014 - Profa. Paola Mandalá.pdf","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência - CPLE - Nível C segunda (Profa. Renata).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência - CPLE - Nível C quarta (Profa. Renata).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência CPLE Nível C  - quarta - 14h (Profa. Cristina).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência CPLE Nível C  - quarta - 16h (Profa. Cristina).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência CPLE Nível C  - quinta - 14h (Profa. Cristina).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência CPLE Nível C - quinta - 10h (Profa. Cristina).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência Prática de Leitura e Escrita PLE Turma 1 (abril).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequência Prática de Leitura e Escrita PLE Turma 2 (maio).pdf","","","","","","","","","","","","","","","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas Francês para Iniciantes – Relações Internacionais III.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico1_intensivo.julho2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico1.Turma1_TatianaM.M..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico1.Turma2_ElianaS.C..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico1.Turma3_ErikaT.H..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico2.Turma1_ElianaS.C..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequencia_B2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas e Frequencia_B3.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico3.Turma2_TatianaM.M..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico4.Turma1_LilianaY.M.O..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico4.Turma2_LilianaY.M.O..pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Médias Fil1_2014-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas Fil2_2014-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas CsF  2014-1.pdf"
1766,"Curso de Inglês para Funcionários USP 1º Semestre 2016","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível B1 (intermediário) – Módulo 1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/lista_corrigida_1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/lista_corrigida_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A2-B1-módulo_2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A2-B1 (pré-intermediário) – Módulo 1 (1).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/lista_corrigida1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A1-A2-módulo_2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nível A2-B1-módulo_1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A1-A2 (básico) – Módulo 2_0.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A2-B1 (pré-intermediário) – Módulo 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A2-B1 (pré-intermediário) – Módulo 1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LISTA PROVISÓRIA - A2-B1 - Modulo2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LISTA PROVISÓRIA -A1-A2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LISTA PROVISÓRIA - A2-B1 - Modulo1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A1-A2 (básico) – Módulo 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/lista_corrigida.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/lista_corrigidacerta.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LISTA PROVISÓRIA - A2-B1 - Modulo2_0.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Resultado do teste de nível 2016-1(novo).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Matrículas confirmadas 3o período - ver hoje.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Resultado do teste de nível 2016- (publicar este).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Matrículas confirmadas 2o período.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Matrículas confirmadas 2o período - novo.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Orientações sobre material didático_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LISTA PROVISÓRIA - A2-B1 - Modulo2_1.pdf","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível B1 certo (intermediário) – Módulo 1 (1).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Matrículas confirmadas 1o período (2) certa.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Matrículas confirmadas 1o período (1) - 2016_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A2-B1 (pré-intermediário) – Módulo 1_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista de alunos para rematrícula Nível A2-B1 (pré-intermediário) – Módulo 2_0.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,"Notas do 2º semestre de 2014","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas CURSO DE FÉRIAS LATIM I .pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas Praticas de Leitura em frances - Prof Raquel  Rosalin.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas freq ingles leitura I 12h 2sem2014.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas freq Angela ingles leitura I 12h 2sem2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas freq Angela ingles academico posgraduandos 2sem2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas freq Angela ingl leitura de textos II 9h 2sem2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas freq Angela ingl leitura de textos I 9h 2sem2014.pdf","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_Japones.Basico1_sabado.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas alemão I 2.2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/LEPLE Outubro.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA GRADUANDOS I.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA GRADUANDOS I_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA GRADUANDOS II.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas e frequência Leitura Humanas 2o sem 2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas e frequência Escrita Acadêmica 2014.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2014-2 Notas e frequência.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para leitura nível 1 - Ana Silvia - seg qua - 9-11 horas 2º2014.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para leitura nível 1 - Ana Silvia -seg qua -12-14 horas-2º2014.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_Japones.Basico1_sabado_0.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_JapPreIntermediario.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_CPreparatorioN3LJ.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nota e frequência - CPLE - 2o semestre 2014.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/NOTAS LATIM.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,"Testes de nível - 2º semestre/2016","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Resultado TESTE 11.08.2016 Ingles Graduandos.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Negócios Teste de nível Resultado 2016-2 1108.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Resultado Teste Ingles Academico 11.08.2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/APRESENTAÇÕES ORAIS Resultado do teste 2016-2 1108.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Escrita IRI.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/ESCRITA IRI Teste de nível Resultado 2016-2 1008 (1).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS Teste de nível Resultado 2016-2 1008.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Escrita Teste de nível Resultado 2016-2 1008.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/ESCRITA ACADEMICA Teste de nível Resultado 2016-2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Negócios.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,"Testes de nível dos cursos de japonês - 2º semestre/2016","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/resultado_teste.nivel_.N3.p2_25.ago_.2016.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,"Comunicados","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/A partir do dia 17_03","o Atendimento do centro interdepartamental de línguas será realizado apenas via e-mails informados em nosso site_.png","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/SALAS DE AULA (1).png","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/SALAS DE AULA.png","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,"Formulários - Funcionários IMT - USP","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Alunos do intermediário Professora Regiane.pdf","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
