"nid","title","field_tipo_evento","field_data_do_evento","field_data_do_evento_fim","field_data_eventos_externos","field_data_eventos_externos_fim","field_campo_extra","field_ministrantes","field_adicionar_maiores_informa_","field_informacoes_essenciais","field_org","field_p_gina","field_contato","field_local","field_mapa_do_local","field_endereco_evento","field_outras_informacoes_evento","field_programa_o_do_evento","field_imagem_de_divulga_o"
"2307","Os Fundamentos da Aritmética, de Gottlob Frege","1","07/04/2020 - 10:00","07/04/2020 - 10:00","","","07 / ABR / 2020 das 10h30 às 12h00","","","<p>Coordenação: João Vergílio Gallerani Cuter</p>

<p>Horário: Terças-feiras das 10:00 às 12:00</p>

<p>Início: 07 de Abril de 2020</p>

<p>Local: Sala 106A</p>

<p> </p>

<p>Para o primeiro seminário, ler a Introdução mais os §§1-3.</p>

<p> </p>
","","","","Sala 106A","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_seminarios_filosofia_linguagem.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_seminarios_filosofia_linguagem.jpg"
"2303","Lançamento: MARILENA CHAUI - Pensamento, afetos e análise da obra","1","11/03/2020 - 19:00","11/03/2020 - 21:00","","","11/MAR/2020 ÀS 19H00","","","<p><strong>Com a presença de Marilena Chaui</strong></p>

<p>Na ocasião haverá uma apresentação da obra da filósofa com: Henrique Xavier, Homero Santiago, Luis César Oliva, Maria das Graças Souza, Olgária Matos, Sérgio Cardoso, Silvia Faustino e Tessa Lacerda Marilena Chaui: pensamento, afetos e análise da obra.</p>

<p> </p>

<p>ARTIGOS DE:<br />
Henrique Xavier, Homero Santiago, Juvenal Savian Filho, Luís César Oliva, Maria das Graças Souza, Olgária Matos, Sérgio Cardoso, Silvia Faustino, Tessa Lacerda, Luciana Chaui, José Guilherme Chaui-Berlinck, Diego Chaui Berlinck Sanchez.</p>

<p> </p>
","","","","Blooks Frei Caneca (Shopping Frei Caneca)","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Rua Frei Caneca, 569 | Consolação - São Paulo, SP CEP - 01307-001","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/externo/2020_Lancamento_Marilena_Chaui.jpg","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/externo/2020_Lancamento_Marilena_Chaui.jpg"
"2298","Lançamento do livro ""Leitura e Escrita de Textos Argumentativos""","1","10/03/2020 - 15:45","10/03/2020 - 15:45","","","TERÇA-FEIRA, 10 / MAR / 2020  DAS 18h00 ÀS 20H30","Marcus Sacrini","","","","","","Sala 014","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_lancamento_Leitura_Escrita_Textos.png","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_lancamento_Leitura_Escrita_Textos.png, http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_lan%C3%A7amento_leitura_escrita_textos_capa.jpg"
"2288","Chamada de trabalhos: Colóquio sobre J. S. Mill ","1","16/04/2020 - 00:00","17/04/2020 - 00:00","","","DIAS 16 E 17/04/2020 (Submissão de trabalhos até dia 27/03/2020)","","1","","","","","","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","<p><strong>Chamada de Trabalhos</strong></p>

<p> </p>

<p>A Comissão Organizadora do <strong>Colóquio sobre J. S. Mill </strong>declara aberto o período de submissão de trabalhos para o evento, que ocorrerá entre os dias <strong>16 e 17/04/20</strong> na Faculdade de Filosofia, Letras e Ciências Humanas da USP.</p>

<p>As <strong>submissões</strong> devem ser feitas até <strong>27/03/20</strong>. A divulgação dos trabalhos aceitos será feita até <strong>03/04/20</strong>, juntamente com a programação completa do evento.</p>

<p>Será concedido o tempo de 30 minutos para apresentação, seguido de 15 minutos para discussão e perguntas.</p>

<p>Interessados em submeter trabalhos deverão enviar o resumo para <a href=""mailto:gustavodalaqua@yahoo.com.br"">gustavodalaqua@yahoo.com.br</a>, em arquivo PDF e preparado para avaliação cega, com no mínimo 500 e no máximo 750 palavras, incluindo título. O nome completo, nível de titulação, filiação institucional e endereço eletrônico deverão ser indicados no corpo do texto do e-mail.</p>

<p> </p>

<p>Comissão Organizadora</p>

<p>Prof. Dr. Alberto Ribeiro G. de Barros – Departamento de Filosofia, Universidade de São Paulo</p>

<p>Prof. Dr. Gustavo Dalaqua – Departamento de Filosofia, Universidade Estadual do Paraná</p>

<p> </p>

<p>Palestrantes confirmados</p>

<p>Prof. Dr. Chris Barker – Departamento de Ciência Política, American University in Cairo</p>

<p>Prof. Dra. Laura Valladão de Mattos – Departamento de Economia, Universidade de São Paulo</p>

<p>Prof. Dr. Mauro Simões – Faculdade de Ciências Aplicadas, Universidade Estadual de Campinas</p>

<p> </p>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_Coloquio_Mill_chamada.pdf",""
"2287","Seminários de Filosofia Intercultural: Yogāgāra: Idealismo Epistemológico e Metafísica da Vacuidade","1","09/03/2020 - 14:00","09/03/2020 - 18:00","","","09 / MAR / 2020 ÀS 14H","Giuseppe Ferraro (Doutor em Filosofia pela UFMG)","","","Coordenação: Osvaldo F. Pessoa Jr.","","","Sala 010","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020%20Semin%C3%A1rios%20de%20Filosofia%20Intercultural%201.png","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020%20Semin%C3%A1rios%20de%20Filosofia%20Intercultural%201.png"
"2286","Heidegger/Wittgenstein: CONTRAPONTOS","1","02/03/2020 - 19:00","02/03/2020 - 22:00","","","Segunda-feira, 02/MAR/2020 ÀS 19:00","Apresentação e Discussão: José Arthur Giannotti e Marcio Sattin","1","","","","","LIVRARIA DA VILA","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Livraria da Vila: Alameda Lorena, 1731 - Jardim Paulista, São Paulo - SP. Horário: Aberto até às 22:00. Telefone: (11) 3062-1063","<p class=""rtejustify""> </p>

<p class=""rtejustify""><strong>Com eloquência e erudição, José Arthur Giannotti explora as divergências entre dois dos maiores filósofos do século XX. </strong></p>

<p class=""rtejustify""> </p>

<p class=""rtejustify"">Se levarmos em conta a trajetória intelectual de José Arthur Giannotti, professor emérito da Universidade de São Paulo, e a natureza espinhosa da discussão proposta no livro, Heidegger/ Wittgenstein é uma obra combativa, a começar pelo título. De um lado do ringue, Heidegger, costumeiramente associado a uma vertente fundacionista da filosofia, na qual a pergunta pelo ser – por seu significado, por seu fundamento – tem papel proeminente. Do outro, Wittgenstein, para quem a pergunta pelo fundamento deve ser urgentemente substituída pelas condições em que se dá, se for o caso, a pergunta acima. Os confrontos esperados e as surpreendentes proximidades de ambos os filósofos trazem, por mérito do autor, novos problemas e desdobramentos, que giram em torno de dois polos básicos do que denominamos, por conforto, ""filosofia ocidental"": lógica e ontologia. Dos muitos méritos do livro, um deles parece sobressair, talvez o mais simpático – o convite para que participemos dessas disputas, cuja regra primeira é: não há perdedores.</p>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_lancamento_heidger_wittgenstein.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_lancamento_heidger_wittgenstein.jpg"
"2268","CALOURADA DA GRADUAÇÃO EM FILOSOFIA","1","17/02/2020 - 16:00","21/02/2020 - 16:00","","","DE 17 A 21/FEV/2020 ","","1","","Coordenação: Prof. Alex de Campos Moura. Org.: Departamento de Filosofia e Centro Acadêmico Professor João Cruz Costa","","","","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","<p><u>SALA 111</u></p>

<p>Dia 17 de fevereiro de 2020</p>

<p>[ 14h15 ] Apresentação geral (Chefia, Comissão de Graduação, Seção de Alunos, Secretaria do Departamento)</p>

<p>[ 15h40 ] Prof. Luiz Sérgio Repa</p>

<p>[ 16h00 ] PET/IC</p>

<p>[ 16h20 ] Prof. Maurício Cardoso Keinert</p>

<p>[ 16h40 ] Prof.Eduardo Brandão</p>

<p>[ 17h00]  Profa. Maria das Graças de Souza</p>

<p>[ 17h20 ] Profa. Maria Lúcia M. O. Cacciola</p>

<p><br />
          Intervalo<br />
 </p>

<p>[ 20h00 ] Apresentação geral (Chefia, Comissão de Graduação, Seção de alunos, Secretaria do Departamento)</p>

<p>[ 20h40 ] Prof. Caetano E. Plastino</p>

<p>[ 21h00 ] Profa. Tessa Moura Lacerda (Comissão de Direitos Humanos)</p>

<p>[ 21h20 ] Prof. José Carlos Estevão</p>

<p>[ 21h40 ] Prof. Roberto Bolzani Filho</p>

<p>[ 22h00 ] Prof. Luís César G. Oliva</p>

<p> </p>

<p><u>SALA 111</u></p>

<p>Dia 18 de fevereiro de 2020</p>

<p>[ 14h00 ] Mesa de debate com convidados (CAF)</p>

<p>[ 19h30 ] Mesa de discussão com convidados(CAF)<br />
 </p>

<p>Dia 19 de fevereiro de 2020</p>

<p>[ 14h00 ] Aula inaugural do Centro Acadêmico (CAF)</p>

<p>[ 16h00 ] Cortejo pela permanência (CAF)<br />
 </p>

<p>Dia 20 de fevereiro de 2020</p>

<p>[ 14h00 ] Prof. Sérgio Cardoso</p>

<p>[ 14h20 ] Prof. Maurício C. Ramos</p>

<p>[ 14h40 ] Centro Acadêmico de Filosofia</p>

<p>[ 15h00 ] Prof. Edélcio G. de Souza</p>

<p>[ 15h20 ] Prof. Marco A. de Ávila Zingano</p>

<p>[ 15h40 ] Prof. Ricardo N. Fabbrini</p>

<p>[ 16h00 ] Prof. Carlos Eduardo de Oliveira</p>

<p>[ 16h20 ] Comissão de Pós-Graduação</p>

<p>[ 16h40 ] Profa. Tessa Moura Lacerda</p>

<p> </p>

<p><u>AUDITÓRIO 14</u></p>

<p>[ 19h00 ] Aula Inaugural do curso de Filosofia 2020:</p>

<p>A INVENÇÃO DO LEITOR<br />
Prof. Luiz Fernando Franklin de Mattos</p>

<p><br />
<u>SALA 111</u></p>

<p>Dia 21 de fevereiro de 2020</p>

<p>[ 14h00 ] Discussão sobre a Universidade (CAF)</p>

<p> </p>

<p><u>MARIA ANTONIA*</u></p>

<p>[ 17h00 ] Apresentação e discussão do documentário “Batalha da Maria Antonia”  (CAF)</p>

<p>[*] A atividade será ministrada no Centro Universitário Maria Antônia: R. Maria Antônia, 258/294 - Vila Buarque, São Paulo - SP, 01222-010<br />
(11) 3123-5200 / 5202<br />
Próximo às estações Higienópolis-Mackenzie e Santa Cecília do metrô.</p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>

<p> </p>
","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia_1.jpg, http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_calourada_filosofia_2.jpg"
"2259","Colóquio de Lógica e Ontologia","1","14/02/2020 - 14:00","14/02/2020 - 19:00","","","Sexta-feira, 14 de fevereiro de 2020","","","<p> </p>

<p>14:00 – 15:30:   Prof. Dr. Rodrigo Freire (UnB)<br />
  “Teoria das Ordens e Aritmética Cardinal”</p>

<p> </p>

<p>15:30 – 17:00:   Prof. Dr. Pedro Santos (Unifesp)<br />
  “Mereologia Modal”</p>

<p> </p>

<p>17:00 – 17:30:   Intervalo</p>

<p> </p>

<p>17:30 – 19:00:   Dr. Julio de Rizzo (pós-doutor, USP)<br />
  “Zero-Grounds e Grounds de Necessidades”</p>

<p> </p>
","","","","Sala 014","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_coloquio_logica_ontologia.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_coloquio_logica_ontologia.jpg"
"2252","CHAMADA DE COMUNICAÇÕES: Jornadas Afetividade e Política no século XVII (submissão até 03/MAI/2020)","1","03/05/2020 - 00:00","03/05/2020 - 00:00","","","DIAS 23 E 24/JUN/2020","","","<p class=""rtecenter"">CHAMADA DE COMUNICAÇÕES</p>

<p class=""rtecenter""><strong>Jornadas <em>Afetividade e Política no século XVII</em></strong></p>

<p class=""rtecenter"">Dias 23 e 24 de junho de 2020, na Universidade de São Paulo (USP)</p>

<p class=""rtecenter"">Data-limite para submissão de resumos: 3 de maio de 2020</p>

<p class=""rtecenter""> </p>

<p class=""rteright""><sup><em>Os filósofos concebem os afetos com que nos debatemos como vícios em que os homens incorrem por culpa própria. Por esse motivo, costumam rir-se deles, chorá-los, censurá-los ou (os que querem parecer mais santos), detestá-los. (...) De onde resulta que, as mais das vezes, tenham escrito sátira em vez de ética e que nunca tenham concebido política que possa ser posta em aplicação, mas sim política que é tida por quimera ou que só poderia instituir-se na utopia ou naquele século de ouro dos poetas, onde sem dúvida não seria minimamente necessária.</em></sup></p>

<p class=""rteright""><sup><em>(Espinosa, Tratado Político, cap. I)</em></sup></p>

<p class=""rtejustify""> </p>

<p class=""rtejustify"">Uma das marcas do pensamento seiscentista é o relevo dado aos afetos e a maneira inovadora como são tratados (como destaca Descartes na abertura das <em>Paixões da Alma</em>). Parte necessária da natureza humana, os afetos não podem mais ser desprezados ou pura e simplesmente suprimidos como moralmente condenáveis, mas devem ser compreendidos. A partir disso, também a reflexão política ganha outras cores, donde vermos a consideração do medo e da esperança, do desespero e da segurança, ganharem papel relevante na maneira como filósofos tão diversos quanto Hobbes, Espinosa ou Pascal entendem a condução do governo, a relação com o povo e a própria formação do Estado. É a esse cruzamento entre paixões e política, cujas ressonâncias contemporâneas são também notórias, que se dedicarão as Jornadas<em> Afetividade e política no século XVII. </em>O encontro tem como objetivo reunir pesquisadoras e pesquisadores do pensamento seiscentista que tratem deste tema em suas diversas facetas, bem como especialistas em outros períodos e áreas do conhecimento que dialoguem com a abordagem seiscentista do problema.</p>

<p class=""rtejustify"">Participações confirmadas:</p>

<p class=""rtejustify"">Cristiano Rezende (UFG), Érika Itokazu (UnB), Alberto Barros (USP), Homero Santiago (USP), Fran Alavina (UFVJM), Celi Hirata (UFSCAR), Douglas Barros (PUC-Campinas) e Fernando Andrade (Unifesp).</p>

<p class=""rtejustify"">As propostas de comunicação (30 minutos de fala e debate) devem conter o nome e o e-mail do pesquisador, orientador (se houver), instituição, o título definitivo do trabalho, acompanhado de resumo de até 15 linhas (aproximadamente 1200 caracteres com espaço), e ser enviadas até dia 3 de maio próximo. A aceitação dos trabalhos será comunicada até o dia 11 de maio. Cabe destacar que a organização do evento não poderá proporcionar nenhum tipo de auxílio para os participantes. As inscrições, bem como as propostas de comunicação, devem ser feitas exclusivamente pelo site do Departamento de Filosofia da USP (<img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/inscricao.png"" style=""height:16px; width:16px"" /> <span style=""background-color:Yellow""><strong><a href=""http://filosofia.fflch.usp.br/eventos/trabalhos"">http://filosofia.fflch.usp.br/eventos/trabalhos</a></strong></span>). Quaisquer dúvidas, contatar a comissão organizadora (<a href=""mailto:gabriel.frizzarin.souza@gmail.com"">gabriel.frizzarin.souza@gmail.com</a>).</p>

<p class=""rtejustify"">Organização: Projeto Temático <em>Poder, Conflito e Democracia</em>, Grupo de Estudos Espinosanos e GT-Pensamento do Século XVII (Anpof).</p>

<p class=""rtejustify"">Apoio: Departamento de Filosofia – FFLCH/USP/ PPG de Filosofia USP, FAPESP, CNPQ.</p>

<p class=""rtejustify""> </p>

<p class=""rtejustify""> </p>
","","http://filosofia.fflch.usp.br/eventos/trabalhos","","","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","",""
"2250","SIMPÓSIO DE ESTÉTICA MODERNA E CONTEMPORÂNEA   ","1","03/02/2020 - 14:00","03/02/2020 - 20:00","","","03/FEV/2020 das 14h às 20h","","","<p><big><strong>Programação</strong></big></p>

<p> </p>

<p><strong>Segunda-feira, dia 3 de fevereiro de 2020</strong></p>

<p><strong>Sala 115</strong></p>

<p><strong>14:00 — 15:30 </strong></p>

<p> </p>

<p><em>Alguns elementos da poética como pathos dominante em O Nascimento da Tragédia</em></p>

<p>Guilherme da Silva Cunha (Doutorando/ Dinter/ USP)</p>

<p> </p>

<p><em>Desejo e reconhecimento: uma breve análise do poema “Canção de uma Dama na Sombra” de Paul Celan</em></p>

<p>Mariana Cavichioli Gomes Almeida (Mestranda/ USP)</p>

<p> </p>

<p><em>Limiar da distinção</em></p>

<p>Victor Cezar Ferreira (Mestrando/ USP)</p>

<p> </p>

<p><strong>16:00 - 17:30</strong></p>

<p> </p>

<p><em>O princípio universal da comédia nos cursos de estética de Hegel</em></p>

<p>Neusa Monteiro (Mestranda/USP)</p>

<p> </p>

<p><em>A arquitetura nos Cursos de Estética de Hegel</em></p>

<p>Rosana de Oliveira (Doutoranda/ CNPq/ USP)</p>

<p> </p>

<p><em>Marcuse e o Romance de Artista</em></p>

<p>Cibele Kunz (Pós-doutoranda/ USP)</p>

<p> </p>

<p><strong>18:00 - 19:30</strong></p>

<p> </p>

<p><em>O desaparecimento da clarividência em Ernst Bloch</em></p>

<p>Oliver Tolle (USP)</p>

<p> </p>

<p><em>Por uma cartossonografia: Nietzsche e o Sul da música</em></p>

<p>Márcio José Silveira Lima (UFSB)</p>

<p> </p>

<p> </p>
","","","","Sala 115","https://www.google.com.br/maps/place/Av.+Prof.+Luciano+Gualberto,+315+-+Butant%C3%A3,+S%C3%A3o+Paulo+-+SP,+05508-010/@-23.562803,-46.7249155,17z/data=!3m1!4b1!4m5!3m4!1s0x94ce5646c393d5b5:0x7d994cafb68286bb!8m2!3d-23.562803!4d-46.7227268?hl=pt-br","Conjunto Didático de Filosofia e Ciências Sociais, Av. Prof. Luciano Gualberto, 315 - Cidade Universitária, São Paulo - SP","","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_simposio%20de%20estetica.pdf","http://www.filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/eventos/2020/2020_simposio%20de%20estetica.jpg"
