"nid","title","field_professorarea","field_paginadocentes","field_sobre","field_titulacao","field_area"
"1980","Victor Knoll","Victor Knoll","http://filosofia.fflch.usp.br/docentes/knoll","","6","Estética"
"1979","Valter Alnis Bezerra","Valter Alnis Bezerra","http://filosofia.fflch.usp.br/docentes/valteralnis","","3","Teoria do Conhecimento e Filosofia da Ciência"
"1978","Tessa Moura Lacerda","Tessa Moura Lacerda","http://filosofia.fflch.usp.br/docentes/tessa","","3","História da Filosofia Moderna I"
"1977","Sérgio Cardoso","Sérgio Cardoso","http://filosofia.fflch.usp.br/docentes/sergio","","5","Ética e Filosofia Política"
"1976","Silvana de Souza Ramos","Silvana de Souza Ramos","http://filosofia.fflch.usp.br/docentes/silvana","","5","Ética e Filosofia Política"
"1975","Scarlett Zerbetto Marton","Scarlett Zerbetto Marton","http://filosofia.fflch.usp.br/docentes/scarlett","","6","História da Filosofia Contemporânea"
"1974","Ruy Fausto","Ruy Fausto","http://filosofia.fflch.usp.br/docentes/ruyfausto","","4","Teoria das Ciências Humanas / Ética e Filosofia Política"
"1963","Rubens Rodrigues Torres Filho ","Rubens Rodrigues Torres Filho ","http://filosofia.fflch.usp.br/docentes/rubenstorres","","1","História da Filosofia Moderna II"
"1962","Rolf Nelson Kuntz","Rolf Nelson Kuntz","http://filosofia.fflch.usp.br/docentes/rolf","","1","Ética e Filosofia Política"
"1961","Rodrigo Bacellar","Rodrigo Bacellar","http://filosofia.fflch.usp.br/docentes/bacellar","","5","Lógica, Filosofia da Lógica e Filosofia da Linguagem"
"1960","Roberto Bolzani Filho","Roberto Bolzani Filho","http://filosofia.fflch.usp.br/docentes/bolzani","","5","História da Filosofia Antiga"
"1959","Ricardo Ribeiro Terra","Ricardo Ribeiro Terra","http://filosofia.fflch.usp.br/docentes/terra","","7","Teoria das Ciências Humanas"
"1958","Ricardo Nascimento Fabbrini ","Ricardo Nascimento Fabbrini ","http://filosofia.fflch.usp.br/docentes/fabbrini","","3","Estética"
"1957","Renato Janine Ribeiro ","Renato Janine Ribeiro ","http://filosofia.fflch.usp.br/docentes/janine","","6","Ética e Filosofia Política"
"1956","Pedro Paulo Garrido Pimenta","Pedro Paulo Garrido Pimenta","http://filosofia.fflch.usp.br/docentes/pedropaulo","","5","História da Filosofia Moderna II"
"1955","Paulo Eduardo Arantes","Paulo Eduardo Arantes","http://filosofia.fflch.usp.br/docentes/pauloarantes","","6","Filosofia Geral"
"1954","Pablo Rubén Mariconda","Pablo Rubén Mariconda","http://filosofia.fflch.usp.br/docentes/mariconda","","6","Teoria do Conhecimento e Filosofia da Ciência"
"1953","Osvaldo Frota Pessoa Junior","Osvaldo Frota Pessoa Junior","http://filosofia.fflch.usp.br/docentes/pessoa","","5","Teoria do Conhecimento e Filosofia da Ciência"
"1952","Oliver Tolle","Oliver Tolle","http://filosofia.fflch.usp.br/docentes/tolle","","3","Estética"
"1951","Olgária Chain Feres Matos ","Olgária Chain Feres Matos ","http://filosofia.fflch.usp.br/docentes/olgaria","","6","Ética e Filosofia Política"
"1950","Newton Carneiro Affonso da Costa ","Newton Carneiro Affonso da Costa ","http://filosofia.fflch.usp.br/docentes/newton","","1","Lógica, Filosofia da Lógica e Filosofia da Linguagem"
"1949","Márcio Suzuki","Márcio Suzuki","http://filosofia.fflch.usp.br/docentes/suzuki","","5","Estética"
"1948","Moacyr Ayres Novaes Filho","Moacyr Ayres Novaes Filho","http://filosofia.fflch.usp.br/docentes/moacyr","","5","História da Filosofia Medieval"
"1947","Milton Meira do Nascimento","Milton Meira do Nascimento","http://filosofia.fflch.usp.br/docentes/miltonmeira","","6","Ética e Filosofia Política"
"1946","Maurício de Carvalho Ramos","Maurício de Carvalho Ramos","http://filosofia.fflch.usp.br/docentes/mramos","","5","Teoria do Conhecimento e Filosofia da Ciência"
"1945","Maurício Cardoso Keinert","Maurício Cardoso Keinert","http://filosofia.fflch.usp.br/docentes/mkeinert","","3","História da Filosofia Moderna II"
"1944","Marilena de Souza Chaui","Marilena de Souza Chaui","http://filosofia.fflch.usp.br/docentes/chaui","","4","História da Filosofia Moderna I"
"1943","Maria Lúcia Mello e Oliveira Cacciola","Maria Lúcia Mello e Oliveira Cacciola","http://filosofia.fflch.usp.br/docentes/cacciola","","6","História da Filosofia Moderna II"
