nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
300,ANTROPOLOGIA FÍSICA COMO CIÊNCIA SOCIAL,816,7,23,33,189,488,489,712,,,,,,,,,,,,,,,,
301,"FESTA DA MOÇA, A",817,120,172,207,241,413,490,712,,,,,,,,,,,,,,,,
302,PÊMP,818,45,93,120,142,203,206,207,241,253,416,472,712,,,,,,,,,,,
303,WAI'A O SEGREDO DOS HOMENS,819,161,241,413,463,,,,,,,,,,,,,,,,,,,
304,XINGU,820,45,76,94,101,120,161,202,491,492,493,494,495,496,498,,,,,,,,,
305,ASPECTOS DO ALTO XINGU,821,9,196,239,266,413,491,497,,,,,,,,,,,,,,,,
306,"KAA'ETE, OS WAIÃPI POVO DA FLORESTA",822,44,93,98,140,143,202,207,212,313,323,486,,,,,,,,,,,,
307,ANGOLA,823,53,113,121,160,227,296,499,504,505,,,,,,,,,,,,,,
308,CONGADA,824,67,72,120,186,229,415,500,,,,,,,,,,,,,,,,
309,"TRAVESSIA, A",825,94,98,139,150,186,296,501,506,,,,,,,,,,,,,,,
310,ARTE É HUMANISMO,852,25,29,56,68,161,405,502,543,,,,,,,,,,,,,,,
311,SOMOS FILHOS DOS ORIXÁS,851,67,120,186,227,386,428,481,712,,,,,,,,,,,,,,,
312,WAYANA-APALAI,828,94,95,143,207,231,313,416,510,511,712,,,,,,,,,,,,,
313,"OBJETO: UMA DESCOBERTA, O",827,29,70,71,81,176,712,,,,,,,,,,,,,,,,,
314,"AMAZONAS, UM NEGÓCIO DESTE MUNDO",829,94,202,231,328,516,517,518,519,712,,,,,,,,,,,,,,
315,"CHICO MENDES, A VOZ DA AMAZÔNIA",832,140,145,150,166,192,213,258,284,321,,,,,,,,,,,,,,
316,FINANCIANDO O DESASTRE,830,94,140,145,171,192,202,203,213,253,313,321,470,476,712,,,,,,,,,
317,"REBELDE BOLA CUBANA, UMA (3º PROGRAMA)",1011,88,184,581,583,,,,,,,,,,,,,,,,,,,
318,METUIA,835,62,439,712,,,,,,,,,,,,,,,,,,,,
319,DESCOBRINDO O BRASIL,837,58,313,416,469,712,,,,,,,,,,,,,,,,,,
